d,price_usd,address_100_1000
2012-01-01,5.2948427773,6214.0
2012-01-02,5.2048778919,6244.0
2012-01-03,4.8705088288,6273.0
2012-01-04,5.5857062671,6291.0
2012-01-05,6.8740008773,6314.0
2012-01-06,6.68331664,6397.0
2012-01-07,6.7962279807,6421.0
2012-01-08,7.0966505663,6411.0
2012-01-09,6.2885383425,6376.0
2012-01-10,6.5284745552,6380.0
2012-01-11,6.8891277212,6391.0
2012-01-12,6.7735641958,6425.0
2012-01-13,6.4543688901,6411.0
2012-01-14,6.7617271426,6441.0
2012-01-15,7.0469225582,6469.0
2012-01-16,6.7156076666,6478.0
2012-01-17,5.5996219503,6544.0
2012-01-18,5.9002312881,6578.0
2012-01-19,6.3157063416,6561.0
2012-01-20,6.5014919883,6570.0
2012-01-21,6.1805683255,6591.0
2012-01-22,6.3029672268,6610.0
2012-01-23,6.3748760771,6596.0
2012-01-24,6.2744764757,6576.0
2012-01-25,5.8104650725,6558.0
2012-01-26,5.3672269544,6567.0
2012-01-27,5.303137197,6570.0
2012-01-28,5.659796775,6593.0
2012-01-29,5.3914294573,6601.0
2012-01-30,5.5034819386,6610.0
2012-01-31,5.5382202957,6580.0
2012-02-01,6.0752326523,6571.0
2012-02-02,6.0995729129,6569.0
2012-02-03,5.9516109275,6568.0
2012-02-04,5.895413239,6558.0
2012-02-05,5.6781157171,6544.0
2012-02-06,5.4826640584,6573.0
2012-02-07,5.6620277002,6585.0
2012-02-08,5.6185281899,6596.0
2012-02-09,5.8356998542,6608.0
2012-02-10,5.9378341555,6607.0
2012-02-11,5.6121328533,6633.0
2012-02-12,5.5190971695,6628.0
2012-02-13,5.3483545593,6621.0
2012-02-14,4.4836540918,6659.0
2012-02-15,4.325520322,6712.0
2012-02-16,4.255239045,6861.0
2012-02-17,4.3915383729,6867.0
2012-02-18,4.2700812776,6869.0
2012-02-19,4.3895514582,6878.0
2012-02-20,4.3651359389,6899.0
2012-02-21,4.315115602,6913.0
2012-02-22,4.4193102876,6952.0
2012-02-23,5.0395151181,6967.0
2012-02-24,5.0256087589,6939.0
2012-02-25,4.7725673811,6925.0
2012-02-26,4.9264208515,6939.0
2012-02-27,4.9525157563,6950.0
2012-02-28,4.8572577756,6976.0
2012-02-29,4.8727487557,6978.0
2012-03-01,4.9220721236,6994.0
2012-03-02,4.7148235871,6931.0
2012-03-03,4.6281932525,6954.0
2012-03-04,4.8341444816,6987.0
2012-03-05,4.9823929039,7014.0
2012-03-06,4.9878413524,7013.0
2012-03-07,4.9491128846,7034.0
2012-03-08,4.934979495,7014.0
2012-03-09,4.8722978475,7013.0
2012-03-10,4.8414238048,7027.0
2012-03-11,4.8920287516,7031.0
2012-03-12,4.9108393793,7070.0
2012-03-13,5.2908802788,7084.0
2012-03-14,5.3905432922,7110.0
2012-03-15,5.3408208989,7124.0
2012-03-16,5.3395747914,7136.0
2012-03-17,5.2360035541,7179.0
2012-03-18,5.2701489854,7199.0
2012-03-19,4.6786725529,7228.0
2012-03-20,4.8308302162,7248.0
2012-03-21,4.8172295248,7243.0
2012-03-22,4.729608505,7271.0
2012-03-23,4.6916431765,7297.0
2012-03-24,4.6519862659,7283.0
2012-03-25,4.5522702624,7250.0
2012-03-26,4.6327223597,7242.0
2012-03-27,4.8113407352,7277.0
2012-03-28,4.7905893916,7286.0
2012-03-29,4.7940665722,7286.0
2012-03-30,4.8614093565,7279.0
2012-03-31,4.8897768732,7302.0
2012-04-01,4.7933256774,7325.0
2012-04-02,4.9830454787,7341.0
2012-04-03,4.9562331929,7340.0
2012-04-04,4.9178421777,7275.0
2012-04-05,4.9208492449,7229.0
2012-04-06,4.9491074322,7239.0
2012-04-07,4.7097119103,7207.0
2012-04-08,4.7788188492,7205.0
2012-04-09,4.8525473811,7242.0
2012-04-10,4.8414175938,7294.0
2012-04-11,4.9152507171,7299.0
2012-04-12,4.9011581473,7260.0
2012-04-13,4.9344067335,7274.0
2012-04-14,4.956364661,7278.0
2012-04-15,4.9616003384,7274.0
2012-04-16,4.9507645693,7261.0
2012-04-17,4.9687445076,7269.0
2012-04-18,5.124377443,7308.0
2012-04-19,5.1309065114,7288.0
2012-04-20,5.3665159681,7238.0
2012-04-21,5.282550339,7198.0
2012-04-22,5.1956089947,7119.0
2012-04-23,5.1108881917,7132.0
2012-04-24,5.0878672624,7099.0
2012-04-25,5.1488162455,7038.0
2012-04-26,5.0974192858,7059.0
2012-04-27,5.0958873399,7047.0
2012-04-28,4.9707366528,7076.0
2012-04-29,4.9026061777,7121.0
2012-04-30,4.9421168101,7132.0
2012-05-01,4.9871372274,7138.0
2012-05-02,5.0534373539,7097.0
2012-05-03,5.118872979,7072.0
2012-05-04,5.0855070883,7079.0
2012-05-05,5.0566395646,7053.0
2012-05-06,5.0478007729,7045.0
2012-05-07,5.067555867,7023.0
2012-05-08,5.0234664229,7027.0
2012-05-09,5.0413062355,7010.0
2012-05-10,4.9274887198,6997.0
2012-05-11,4.9637099775,6954.0
2012-05-12,4.946532235,6946.0
2012-05-13,4.9447950538,6955.0
2012-05-14,5.011435922,6976.0
2012-05-15,5.0336404004,6946.0
2012-05-16,5.0877845091,6970.0
2012-05-17,5.0896616864,6972.0
2012-05-18,5.1183014828,6964.0
2012-05-19,5.1125458112,6986.0
2012-05-20,5.0942009684,6918.0
2012-05-21,5.0942213101,6931.0
2012-05-22,5.0891391888,6926.0
2012-05-23,5.1288588998,6931.0
2012-05-24,5.1191577592,6937.0
2012-05-25,5.1372768065,6890.0
2012-05-26,5.1039788048,6928.0
2012-05-27,5.134616135,6953.0
2012-05-28,5.1363254191,6952.0
2012-05-29,5.1484706978,6951.0
2012-05-30,5.1382645693,6943.0
2012-05-31,5.1816397212,6934.0
2012-06-01,5.266943758,7080.0
2012-06-02,5.2436390602,7147.0
2012-06-03,5.2127049848,7142.0
2012-06-04,5.2587658574,7163.0
2012-06-05,5.4260142949,7196.0
2012-06-06,5.446169422,7260.0
2012-06-07,5.5871698098,7240.0
2012-06-08,5.6225291017,7220.0
2012-06-09,5.5570023355,7159.0
2012-06-10,5.4578935693,7127.0
2012-06-11,5.5869969816,7162.0
2012-06-12,5.7274912987,7166.0
2012-06-13,5.9093013238,7141.0
2012-06-14,5.9620231821,7187.0
2012-06-15,6.5233807192,7167.0
2012-06-16,6.4441582823,7191.0
2012-06-17,6.199966488,7188.0
2012-06-18,6.3108446686,7177.0
2012-06-19,6.494826716,7168.0
2012-06-20,6.6935510555,7216.0
2012-06-21,6.6722625038,7237.0
2012-06-22,6.5637616978,7250.0
2012-06-23,6.4475416891,7230.0
2012-06-24,6.3504940386,7232.0
2012-06-25,6.31747363,7286.0
2012-06-26,6.4328608288,7252.0
2012-06-27,6.6157134015,7199.0
2012-06-28,6.590064633,7211.0
2012-06-29,6.6587767572,7239.0
2012-06-30,6.680427623,7217.0
2012-07-01,6.6268600923,7217.0
2012-07-02,6.7434780508,7206.0
2012-07-03,6.4499924033,7142.0
2012-07-04,6.5148353331,7173.0
2012-07-05,6.6423986043,7171.0
2012-07-06,6.6721811894,7147.0
2012-07-07,6.8082737119,7132.0
2012-07-08,6.7963176879,7153.0
2012-07-09,7.032395886,7177.0
2012-07-10,7.1785800357,7196.0
2012-07-11,7.185147789,7223.0
2012-07-12,7.5559356502,7073.0
2012-07-13,7.630921256,7077.0
2012-07-14,7.5801291783,7136.0
2012-07-15,7.6272348597,7157.0
2012-07-16,8.4934056774,7163.0
2012-07-17,8.7519848551,7211.0
2012-07-18,9.0951926861,7252.0
2012-07-19,8.8795334135,7334.0
2012-07-20,8.5324506791,7384.0
