d,price_usd,address_10k
2012-01-01,5.2948427773,69.0
2012-01-02,5.2048778919,69.0
2012-01-03,4.8705088288,69.0
2012-01-04,5.5857062671,68.0
2012-01-05,6.8740008773,69.0
2012-01-06,6.68331664,69.0
2012-01-07,6.7962279807,69.0
2012-01-08,7.0966505663,69.0
2012-01-09,6.2885383425,70.0
2012-01-10,6.5284745552,70.0
2012-01-11,6.8891277212,70.0
2012-01-12,6.7735641958,69.0
2012-01-13,6.4543688901,69.0
2012-01-14,6.7617271426,69.0
2012-01-15,7.0469225582,69.0
2012-01-16,6.7156076666,69.0
2012-01-17,5.5996219503,69.0
2012-01-18,5.9002312881,69.0
2012-01-19,6.3157063416,70.0
2012-01-20,6.5014919883,70.0
2012-01-21,6.1805683255,70.0
2012-01-22,6.3029672268,70.0
2012-01-23,6.3748760771,70.0
2012-01-24,6.2744764757,70.0
2012-01-25,5.8104650725,71.0
2012-01-26,5.3672269544,71.0
2012-01-27,5.303137197,71.0
2012-01-28,5.659796775,71.0
2012-01-29,5.3914294573,71.0
2012-01-30,5.5034819386,71.0
2012-01-31,5.5382202957,72.0
2012-02-01,6.0752326523,72.0
2012-02-02,6.0995729129,72.0
2012-02-03,5.9516109275,72.0
2012-02-04,5.895413239,72.0
2012-02-05,5.6781157171,72.0
2012-02-06,5.4826640584,72.0
2012-02-07,5.6620277002,72.0
2012-02-08,5.6185281899,72.0
2012-02-09,5.8356998542,72.0
2012-02-10,5.9378341555,72.0
2012-02-11,5.6121328533,71.0
2012-02-12,5.5190971695,71.0
2012-02-13,5.3483545593,71.0
2012-02-14,4.4836540918,67.0
2012-02-15,4.325520322,68.0
2012-02-16,4.255239045,68.0
2012-02-17,4.3915383729,67.0
2012-02-18,4.2700812776,67.0
2012-02-19,4.3895514582,67.0
2012-02-20,4.3651359389,67.0
2012-02-21,4.315115602,67.0
2012-02-22,4.4193102876,67.0
2012-02-23,5.0395151181,68.0
2012-02-24,5.0256087589,68.0
2012-02-25,4.7725673811,68.0
2012-02-26,4.9264208515,68.0
2012-02-27,4.9525157563,68.0
2012-02-28,4.8572577756,68.0
2012-02-29,4.8727487557,67.0
2012-03-01,4.9220721236,67.0
2012-03-02,4.7148235871,66.0
2012-03-03,4.6281932525,65.0
2012-03-04,4.8341444816,65.0
2012-03-05,4.9823929039,65.0
2012-03-06,4.9878413524,65.0
2012-03-07,4.9491128846,65.0
2012-03-08,4.934979495,65.0
2012-03-09,4.8722978475,65.0
2012-03-10,4.8414238048,65.0
2012-03-11,4.8920287516,65.0
2012-03-12,4.9108393793,65.0
2012-03-13,5.2908802788,64.0
2012-03-14,5.3905432922,63.0
2012-03-15,5.3408208989,63.0
2012-03-16,5.3395747914,63.0
2012-03-17,5.2360035541,63.0
2012-03-18,5.2701489854,63.0
2012-03-19,4.6786725529,64.0
2012-03-20,4.8308302162,64.0
2012-03-21,4.8172295248,64.0
2012-03-22,4.729608505,64.0
2012-03-23,4.6916431765,64.0
