d,price_usd,address_10k_1k
2021-04-01,58818.9770985973,2153
2021-04-02,59031.5340192285,2151
2021-04-03,57282.3896247808,2150
2021-04-04,58202.199391993,2153
2021-04-05,58755.8525295149,2153
2021-04-06,58084.0664231444,2161
2021-04-07,56266.8346762127,2159
2021-04-08,57963.3445994155,2157
2021-04-09,58051.7625563998,2156
2021-04-10,59651.5589877265,2154
2021-04-11,59932.9306469901,2155
2021-04-12,59905.9363744594,2154
2021-04-13,63445.638314436,2153
2021-04-14,62869.4955873758,2144
2021-04-15,63231.162987142,2143
2021-04-16,61571.1100905903,2139
2021-04-17,60280.8761758036,2150
2021-04-18,56389.5579812975,2153
2021-04-19,55798.1370771479,2151
2021-04-20,56474.3737586207,2158
2021-04-21,54025.7995745178,2157
2021-04-22,51882.0598106371,2155
2021-04-23,50954.9100607832,2149
2021-04-24,50279.9484464056,2152
2021-04-25,48946.9407428404,2154
2021-04-26,53943.3499783752,2155
2021-04-27,55027.0309848042,2154
2021-04-28,54787.3787071888,2152
2021-04-29,53567.0811938048,2152
2021-04-30,57741.44441654,2140
2021-05-01,57863.5903927528,2146
2021-05-02,56572.5968410286,2144
2021-05-03,57243.0416054939,2142
2021-05-04,53724.10892519,2148
2021-05-05,57342.0256616014,2147
2021-05-06,56527.3529789597,2147
2021-05-07,57341.0684549386,2107
2021-05-08,58736.1258950906,2098
2021-05-09,58288.4256303916,2098
2021-05-10,55902.9277399182,2091
2021-05-11,56612.1026487434,2091
2021-05-12,50972.355081239,2080
2021-05-13,49368.6144739918,2078
2021-05-14,49997.3959011105,2079
2021-05-15,47047.9633331385,2080
2021-05-16,46022.5037090006,2072
2021-05-17,43492.3954833431,2065
2021-05-18,42789.8093921683,2062
2021-05-19,37642.5200017534,2061
2021-05-20,40799.4021475745,2073
2021-05-21,37174.3311014027,2079
2021-05-22,37643.4197983635,2085
2021-05-23,34774.207221917,2087
2021-05-24,38630.4091186441,2089
2021-05-25,38269.7710747516,2089
2021-05-26,39194.8588980129,2078
2021-05-27,38510.8570417884,2078
2021-05-28,35596.7179510228,2075
2021-05-29,34681.8183670368,2074
2021-05-30,35652.1687703098,2070
2021-05-31,37312.9748970193,2074
2021-06-01,36661.3781184687,2071
2021-06-02,37639.4556732905,2072
2021-06-03,39160.1504132086,2079
2021-06-04,36884.3735551724,2072
2021-06-05,35409.5672366452,2077
2021-06-06,35720.6043546464,2094
2021-06-07,33724.9077517826,2096
2021-06-08,33475.0489234366,2091
2021-06-09,37372.9888953828,2090
2021-06-10,36826.0022185856,2085
2021-06-11,37185.3931268264,2081
2021-06-12,35669.1712817066,2080
2021-06-13,38925.4194289889,2077
2021-06-14,40455.5959833431,2077
2021-06-15,40254.6514679135,2088
2021-06-16,38265.5437726476,2086
2021-06-17,38018.6432346581,2084
2021-06-18,37280.37,2077
2021-06-19,35555.9763966686,2083
2021-06-20,34820.11,2079
2021-06-21,32584.96,2063
2021-06-22,32908.33,2063
2021-06-23,33610.4968129749,2065
2021-06-24,34897.22,2069
2021-06-25,32262.76,2063
2021-06-26,31336.27,2065
2021-06-27,32642.96,2057
2021-06-28,34376.188538983,2057
2021-06-29,36148.79,2057
2021-06-30,34590.84,2050
2021-07-01,33418.21,2055
2021-07-02,33782.9459464641,2061
2021-07-03,34720.1,2066
2021-07-04,35355.6078883694,2065
2021-07-05,33911.7538404442,2065
2021-07-06,33946.37,2063
2021-07-07,34690.12,2062
2021-07-08,32819.6595312098,2062
2021-07-09,33914.8810742256,2065
2021-07-10,33335.86,2062
2021-07-11,33846.4,2064
2021-07-12,32834.9,2068
2021-07-13,32641.9759610169,2064
2021-07-14,32813.26,2064
2021-07-15,31750.98,2064
2021-07-16,31455.7175818819,2058
2021-07-17,31547.9511990064,2067
2021-07-18,31645.72,2069
2021-07-19,30805.05,2072
2021-07-20,29877.38,2075
2021-07-21,31843.81,2068
2021-07-22,32306.9614285798,2072
2021-07-23,33439.5957028638,2073
2021-07-24,34166.914654588,2071
2021-07-25,35119.9374360023,2078
2021-07-26,37444.7825102279,2072
2021-07-27,38055.11,2082
2021-07-28,40003.52,2074
2021-07-29,39722.32,2072
2021-07-30,40860.23,2071
2021-07-31,41793.3137481005,2071
2021-08-01,41310.19,2070
2021-08-02,39304.1862835769,2068
2021-08-03,38288.8253975453,2077
2021-08-04,39706.49,2076
2021-08-05,40908.48,2072
2021-08-06,42690.36,2071
2021-08-07,43945.42,2070
2021-08-08,43855.21,2073
2021-08-09,46265.6424564582,2082
2021-08-10,45488.7912624196,2080
2021-08-11,45676.3263611923,2071
2021-08-12,44440.18,2070
2021-08-13,47717.4853559322,2069
2021-08-14,46665.44,2072
2021-08-15,46749.52,2073
2021-08-16,46064.94,2068
2021-08-17,45017.36,2065
2021-08-18,44592.92,2066
2021-08-19,46567.94,2060
2021-08-20,48652.94,2066
2021-08-21,49070.2409701929,2065
2021-08-22,48424.68,2063
2021-08-23,49509.06,2060
2021-08-24,48364.25,2056
2021-08-25,48747.71,2065
2021-08-26,47047.56,2067
2021-08-27,48942.27,2066
2021-08-28,48746.55,2068
2021-08-29,48896.51,2070
2021-08-30,48653.6,2068
2021-08-31,46995.72,2064
2021-09-01,48269.06,2061
2021-09-02,49555.55,2059
2021-09-03,49860.5341635301,2058
2021-09-04,49919.577563647,2059
2021-09-05,51652.0,2058
2021-09-06,52640.5883740503,2059
2021-09-07,46806.02,2061
2021-09-08,46154.44,2059
2021-09-09,46268.06,2046
2021-09-10,45130.85,2045
2021-09-11,45098.5916447691,2042
2021-09-12,46180.6124563998,2043
2021-09-13,44991.5221277031,2040
2021-09-14,46842.21,2049
2021-09-15,48167.1893676213,2057
2021-09-16,47103.61,2059
2021-09-17,47086.39,2057
2021-09-18,48015.88,2059
2021-09-19,47587.39,2060
2021-09-20,43569.67,2057
2021-09-21,40526.4893760958,2058
2021-09-22,43475.75,2055
2021-09-23,44716.19,2057
2021-09-24,42991.34,2064
2021-09-25,42714.1,2062
2021-09-26,43131.2941773816,2096
2021-09-27,42720.72,2098
2021-09-28,41811.6,2097
2021-09-29,41453.9470131502,2090
2021-09-30,43781.546015488,2093
2021-10-01,48078.1315543542,2093
2021-10-02,47984.28,2093
2021-10-03,48441.32,2091
2021-10-04,49288.5013106371,2088
2021-10-05,51558.0493319112,2092
2021-10-06,54893.34,2064
2021-10-07,53805.1569125658,2064
2021-10-08,53933.5275908825,2063
2021-10-09,54648.42,2064
2021-10-10,55431.06,2067
2021-10-11,57395.76,2068
2021-10-12,56196.1812597896,2068
2021-10-13,57348.8928769725,2068
2021-10-14,57384.0369146698,2065
2021-10-15,61446.0840073057,2064
2021-10-16,60932.0632119228,2066
2021-10-17,61462.2223722969,2069
2021-10-18,61977.0575514319,2078
2021-10-19,64290.8977574518,2077
2021-10-20,66061.7965639977,2084
2021-10-21,62373.8856206897,2086
2021-10-22,60750.9673718293,2081
2021-10-23,61250.082628872,2079
2021-10-24,60865.4470523086,2082
2021-10-25,63031.6729015196,2080
2021-10-26,60393.9802738165,2078
2021-10-27,58563.3359899766,2066
2021-10-28,60564.5721122151,2067
2021-10-29,62230.8055689655,2065
2021-10-30,61809.68,2069
2021-10-31,61432.9700628287,2066
2021-11-01,61092.0950592051,2072
2021-11-02,63024.7472296902,2065
2021-11-03,62955.9817630041,2071
2021-11-04,61393.8899780246,2070
2021-11-05,61005.840833723,2068
2021-11-06,61455.0536268849,2067
2021-11-07,63043.8290590298,2062
2021-11-08,67541.7555081824,2063
2021-11-09,67095.5856706605,2063
2021-11-10,64756.0779689071,2064
2021-11-11,64962.9312939801,2063
2021-11-12,64078.968037405,2065
2021-11-13,64397.7912063121,2066
2021-11-14,65032.2256548217,2066
2021-11-15,63753.5031592636,2069
2021-11-16,60322.4978530099,2068
2021-11-17,60154.3083661601,2070
2021-11-18,56794.1556271186,2078
2021-11-19,58014.0729888954,2082
2021-11-20,59749.4738229106,2084
2021-11-21,59032.6241017534,2081
2021-11-22,56383.5658760958,2082
2021-11-23,57642.2657980713,2082
2021-11-24,57141.8303784337,2085
2021-11-25,59008.6554792519,2082
2021-11-26,53800.6178389831,2089
2021-11-27,54635.8824628872,2088
2021-11-28,57248.5696963764,2088
2021-11-29,57920.7107299825,2089
2021-11-30,57097.0127942724,2091
2021-12-01,57180.6098439509,2074
2021-12-02,56582.8937691408,2066
2021-12-03,53671.6160680888,2066
2021-12-04,49159.7357983635,2067
2021-12-05,49327.0935999416,2076
2021-12-06,50535.4252232612,2072
2021-12-07,50574.4728344828,2071
2021-12-08,50500.6543513735,2063
2021-12-09,47937.8228458212,2060
2021-12-10,47437.2289725307,2056
2021-12-11,49321.7693252484,2053
2021-12-12,50136.5722568673,2055
2021-12-13,46785.3278410286,2062
2021-12-14,48292.6822501461,2061
2021-12-15,48830.6223860316,2060
2021-12-16,47663.4691077148,2067
2021-12-17,46334.4837489772,2063
2021-12-18,46904.8736753361,2059
2021-12-19,46876.426924021,2060
2021-12-20,46954.7634783168,2061
2021-12-21,49082.0624666277,2066
2021-12-22,48692.0987391584,2072
2021-12-23,50712.9707682642,2079
2021-12-24,50783.8344210988,2073
2021-12-25,50590.4508976622,2070
2021-12-26,50798.3065859147,2069
2021-12-27,50796.3776735827,2070
2021-12-28,47673.0440452367,2068
2021-12-29,46470.3215751023,2059
2021-12-30,47102.4630037989,2061
2021-12-31,46355.1173302747,2059
2022-01-01,47560.0093816482,2061
2022-01-02,47352.5577565751,2063
2022-01-03,46453.432351841,2059
2022-01-04,45905.9611221508,2067
2022-01-05,43530.9440388662,2066
2022-01-06,43144.9652928112,2059
2022-01-07,41512.7845808299,2059
2022-01-08,41799.8128848627,2055
2022-01-09,41886.4985569842,2057
2022-01-10,41816.9510561075,2059
2022-01-11,42768.1786116306,2060
2022-01-12,43961.0265441262,2063
2022-01-13,42626.8653924605,2063
2022-01-14,43102.6476180596,2060
2022-01-15,43206.6744812975,2060
2022-01-16,43168.8596671537,2058
2022-01-17,42211.270399474,2062
2022-01-18,42431.2319670368,2058
2022-01-19,41787.722012858,2060
2022-01-20,40756.1261630625,2069
2022-01-21,36492.2872241379,2070
2022-01-22,34996.390965225,2060
2022-01-23,36271.0502650497,2055
2022-01-24,36659.7252206312,2055
2022-01-25,36952.586773232,2062
2022-01-26,36825.8245993571,2059
2022-01-27,37021.9371332554,2068
2022-01-28,37768.8474836353,2068
2022-01-29,38088.2912279953,2059
2022-01-30,37983.5063845704,2059
2022-01-31,38462.6724029807,2052
2022-02-01,38787.9640824079,2041
2022-02-02,36942.3307493279,2040
2022-02-03,37057.6521879018,2039
