Year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2025,8.27,-16.27,-3.94,10.57,8.61,1.33,9.74,-4.38,4.57,-7.44,,,16.02
2024,-3.31,42.71,13.92,-13.12,15.89,-7.31,2.95,-9.54,10.31,15.62,38.83,-4.19,112.01
2023,39.28,-2.45,20.77,3.04,-3.19,13.64,-4.45,-12.02,4.55,23.92,6.44,9.08,154.22
2022,-19.13,11.32,2.77,-18.46,-17.23,-35.18,20.75,-14.17,-3.33,6.11,-16.14,-2.58,-65.26
2021,12.86,35.12,18.45,-1.83,-35.52,-5.65,25.06,13.76,-9.3,27.78,-6.54,-18.93,57.77
2020,30.49,-8.52,-24.69,30.25,6.53,-10.35,22.69,-1.01,-10.01,30.18,43.15,54.21,304.74
2019,-10.45,10.1,7.44,27.26,60.98,26.74,-4.83,-7.65,-15.17,10.11,-18.32,-3.37,88.21
2018,-25.36,14.02,-36.63,35.63,-17.56,-15.22,21.44,-7.52,-8.17,-3.89,-37.36,-11.11,-72.62
2017,-2.88,20.34,-11.94,26.84,60.02,2.2,18.66,73.81,-11.87,46.7,48.62,28.8,1295.98
2016,-15.72,17.93,-3.89,7.84,16.69,25.42,-7.78,-5.64,6.4,13.57,1.59,28.57,122.92
2015,-30.96,12.26,-6.12,-4.39,-1.42,18.17,10.29,-18.1,3.85,31.86,14.41,18.52,36.5
2014,6.76,-32.21,-19.77,-6.29,36.44,1.41,-9.48,-19.78,-17.97,-11.94,16.75,-15.42,-57.38
2013,53.86,63.26,171.34,34.32,10.08,-30.52,18.29,32.94,-3.41,59.34,451.28,-24.36,5372.49
2012,4.6,-19.79,-0.66,3.1,3.9,26.84,40.65,5.59,23.84,-10.04,18.59,7.57,155.83
2011,75.05,21.58,-14.82,352.13,181.87,68.18,-13.28,-37.02,-37.53,-35.14,-6.46,52.93,1471.44
Average,8.22,11.29,7.48,32.46,21.74,5.31,10.05,-0.72,-4.22,13.12,39.63,8.55,599.52
