,the_date,mvrv_zscore,price_usd
0,2010-10-01,9.485975,0.0619733139
1,2010-10-02,9.097791,0.0614
2,2010-10-03,9.062038,0.0610648685
3,2010-10-04,9.137651,0.0612944769
4,2010-10-05,9.110473,0.0614
5,2010-10-06,9.403513,0.06281
6,2010-10-07,10.106985,0.067
7,2010-10-08,11.68325,0.0844531081
8,2010-10-09,10.830697,0.0938
9,2010-10-10,9.585148,0.0971462011
10,2010-10-11,8.342372,0.095
11,2010-10-12,7.649895,0.0949
12,2010-10-13,7.731437,0.1048655891
13,2010-10-14,6.885143,0.102
14,2010-10-15,6.582281,0.105
15,2010-10-16,5.906423,0.101
16,2010-10-17,5.697687,0.102
17,2010-10-18,5.47629,0.1024
18,2010-10-19,4.981644,0.0975448919
19,2010-10-20,4.927596,0.099
20,2010-10-21,5.204322,0.107
21,2010-10-22,4.769334,0.1025
22,2010-10-23,4.744033,0.1045564243
23,2010-10-24,5.121516,0.11501
24,2010-10-25,5.966119,0.1391185529
25,2010-10-26,5.975212,0.151
26,2010-10-27,6.633398,0.1877
27,2010-10-28,5.446795,0.1731
28,2010-10-29,5.524132,0.19
29,2010-10-30,5.290219,0.1976105435
30,2010-10-31,4.773815,0.1925
31,2010-11-01,4.549811,0.1945250614
32,2010-11-02,4.291921,0.1938
33,2010-11-03,4.081346,0.1931
34,2010-11-04,4.639416,0.2292751607
35,2010-11-05,4.929681,0.2591124138
36,2010-11-06,6.569828,0.4009823027
37,2010-11-07,4.93643,0.34
38,2010-11-08,3.161201,0.2431846289
39,2010-11-09,2.680075,0.2172726943
40,2010-11-10,2.822105,0.2295497312
41,2010-11-11,2.671524,0.2231
42,2010-11-12,3.280662,0.2682
43,2010-11-13,3.288783,0.276
44,2010-11-14,3.229833,0.27904
45,2010-11-15,2.976007,0.2684645558
46,2010-11-16,2.331216,0.225
47,2010-11-17,2.532686,0.2419393337
48,2010-11-18,2.849121,0.2690577908
49,2010-11-19,2.905251,0.27829
50,2010-11-20,2.899075,0.2830159649
51,2010-11-21,2.764366,0.27675
52,2010-11-22,2.814914,0.285
53,2010-11-23,2.73728,0.28295
54,2010-11-24,2.6885,0.2829057364
55,2010-11-25,2.607544,0.28
56,2010-11-26,2.614777,0.2844
57,2010-11-27,2.560626,0.283
58,2010-11-28,2.395097,0.2713586791
59,2010-11-29,1.908004,0.2305594565
60,2010-11-30,1.643475,0.2082
61,2010-12-01,1.865423,0.2275
62,2010-12-02,2.162135,0.255
63,2010-12-03,2.102792,0.2510600836
64,2010-12-04,1.56682,0.205000526
65,2010-12-05,1.540866,0.2028500175
66,2010-12-06,1.543203,0.204
67,2010-12-07,1.872865,0.2334203857
68,2010-12-08,1.926469,0.2388
69,2010-12-09,1.474005,0.1999916943
70,2010-12-10,1.521216,0.204
71,2010-12-11,1.795326,0.228
72,2010-12-12,1.696597,0.2198536119
73,2010-12-13,1.778625,0.2276052367
74,2010-12-14,1.991023,0.24669
