d,price_usd,age_0d_1d,age_1d_1w,age_1w_1m,age_1m_3m,age_3m_6m,age_6m_1y,age_1y_2y,age_2y_3y,age_3y_4y,age_4y_8y,age_8y_,age_1y_,age_6m_,age_6m_sth,age_6m_lth_supply,age_6m_sth_supply,supply_current
2011-01-01,0.3,0.333,3.562,9.294,21.917,16.995,20.168,27.73,0.0,0.0,0.0,0.0,27.73,47.898,52.101,2409101.757,2620497.9465,5029650.0
2011-01-02,0.29997,0.547,3.521,9.351,21.678,17.054,20.102,27.746,0.0,0.0,0.0,0.0,27.746,47.848,52.151,2410773.6319999998,2627575.984,5038400.0
2011-01-03,0.295,0.602,3.515,9.13,21.938,16.969,20.047,27.798,0.001,0.0,0.0,0.0,27.799,47.846,52.154,2414404.852,2631795.148,5046200.0
2011-01-04,0.29895,0.294,3.642,9.253,21.925,16.909,20.104,27.873,0.001,0.0,0.0,0.0,27.874,47.978,52.023,2424448.285,2628852.2475000005,5053250.0
2011-01-05,0.2989163022,0.476,2.43,9.865,22.247,16.964,20.055,27.961,0.001,0.0,0.0,0.0,27.962,48.017,51.982,2430116.3615,2630783.029,5060950.0
2011-01-06,0.298,0.412,2.174,9.807,22.586,16.995,19.985,28.04,0.001,0.0,0.0,0.0,28.041,48.026,51.974,2433957.68,2634042.32,5068000.0
2011-01-07,0.32,0.436,2.189,9.894,22.119,17.331,19.935,28.095,0.001,0.0,0.0,0.0,28.096,48.031,51.969,2438149.622,2638050.378,5076200.0
2011-01-08,0.3229,0.548,2.36,9.827,21.39,17.862,19.856,28.155,0.001,0.0,0.0,0.0,28.156,48.012,51.987,2441266.164,2643382.989,5084700.0
2011-01-09,0.323,0.333,2.43,9.863,21.564,17.788,19.807,28.202,0.014,0.0,0.0,0.0,28.216,48.023,51.978,2445739.3555,2647161.5730000003,5092850.0
2011-01-10,0.32659,0.857,2.256,9.945,21.231,17.087,20.335,28.216,0.074,0.0,0.0,0.0,28.29,48.625,51.376,2480336.9375,2620664.0719999997,5100950.0
2011-01-11,0.32659,1.066,2.803,10.008,20.95,16.631,20.215,28.162,0.164,0.0,0.0,0.0,28.326,48.541,51.458,2480226.6654999997,2629272.239,5109550.0
2011-01-12,0.3187996213,0.464,3.312,9.351,21.748,16.152,20.615,28.101,0.256,0.0,0.0,0.0,28.357,48.972,51.027,2506337.988,2611510.833,5117900.0
2011-01-13,0.3176,1.539,3.145,9.057,21.083,15.868,20.904,28.034,0.369,0.0,0.0,0.0,28.403,49.307,50.692,2528117.811,2599130.9159999997,5127300.0
2011-01-14,0.3999900058,0.96,3.835,8.844,20.798,15.547,21.612,27.925,0.479,0.0,0.0,0.0,28.404,50.016,49.984,2568996.816,2567353.184,5136350.0
2011-01-15,0.386,0.536,4.107,8.693,21.121,15.453,21.666,27.824,0.6,0.0,0.0,0.0,28.424,50.09,49.91,2576729.7800000003,2567470.2199999997,5144200.0
2011-01-16,0.38679,0.602,4.307,8.675,21.072,15.234,21.682,27.729,0.699,0.0,0.0,0.0,28.428,50.11,49.89,2582118.19,2570781.81,5152900.0
2011-01-17,0.3495,0.316,4.414,8.755,21.209,15.134,21.751,27.631,0.79,0.0,0.0,0.0,28.421,50.172,49.828,2589853.5539999995,2572096.4460000005,5161950.0
