d,price_usd,age_0d_1d,age_1d_1w,age_1w_1m,age_1m_3m,age_3m_6m,age_6m_1y,age_1y_2y,age_2y_3y,age_3y_4y,age_4y_8y,age_8y_
2011-01-01,0.3,1.164,12.073,25.76,51.276,9.653,0.074,0.0,0.0,0.0,0.0,0.0
2011-01-02,0.29997,1.894,11.938,25.796,50.643,9.657,0.073,0.0,0.0,0.0,0.0,0.0
2011-01-03,0.295,2.038,11.999,25.299,50.994,9.597,0.072,0.0,0.0,0.0,0.0,0.0
2011-01-04,0.29895,1.005,12.431,25.722,51.104,9.665,0.072,0.0,0.0,0.0,0.0,0.0
2011-01-05,0.2989163022,1.617,8.243,28.395,51.887,9.779,0.079,0.0,0.0,0.0,0.0,0.0
2011-01-06,0.298,1.39,7.335,28.5,52.822,9.874,0.079,0.0,0.0,0.0,0.0,0.0
2011-01-07,0.32,1.567,7.349,28.769,51.925,10.313,0.078,0.0,0.0,0.0,0.0,0.0
2011-01-08,0.3229,1.974,7.967,28.46,50.597,10.928,0.075,0.0,0.0,0.0,0.0,0.0
2011-01-09,0.323,1.193,8.296,28.737,50.802,10.897,0.075,0.0,0.0,0.0,0.0,0.0
2011-01-10,0.32659,3.054,7.692,28.684,49.788,10.708,0.073,0.0,0.0,0.0,0.0,0.0
2011-01-11,0.32659,3.7,9.469,28.375,47.921,10.464,0.071,0.0,0.0,0.0,0.0,0.0
2011-01-12,0.3187996213,1.566,11.287,26.889,49.703,10.481,0.073,0.0,0.0,0.0,0.0,0.0
2011-01-13,0.3176,5.099,10.624,25.902,47.728,10.565,0.083,0.0,0.0,0.0,0.0,0.0
2011-01-14,0.3999900058,3.938,12.72,25.199,47.107,10.939,0.098,0.0,0.0,0.0,0.0,0.0
2011-01-15,0.386,2.106,14.167,24.895,47.8,10.931,0.101,0.0,0.0,0.0,0.0,0.0
2011-01-16,0.38679,2.338,14.902,24.658,47.217,10.666,0.219,0.0,0.0,0.0,0.0,0.0
2011-01-17,0.3495,1.1,15.48,25.295,47.276,10.519,0.33,0.0,0.0,0.0,0.0,0.0
2011-01-18,0.31299,3.713,12.166,25.46,47.783,10.434,0.444,0.0,0.0,0.0,0.0,0.0
2011-01-19,0.31299,2.099,14.847,24.194,47.464,10.852,0.545,0.0,0.0,0.0,0.0,0.0
2011-01-20,0.39,2.115,14.37,25.698,45.852,11.352,0.613,0.0,0.0,0.0,0.0,0.0
2011-01-21,0.41991,2.531,13.212,26.637,44.79,12.11,0.719,0.0,0.0,0.0,0.0,0.0
2011-01-22,0.4400355289,3.162,12.274,27.919,43.761,11.871,1.013,0.0,0.0,0.0,0.0,0.0
2011-01-23,0.4424,3.685,12.786,29.319,41.461,11.684,1.065,0.0,0.0,0.0,0.0,0.0
2011-01-24,0.4199,3.406,14.482,28.415,41.098,11.411,1.187,0.0,0.0,0.0,0.0,0.0
2011-01-25,0.41,1.818,12.966,29.985,41.041,12.956,1.234,0.0,0.0,0.0,0.0,0.0
2011-01-26,0.4150851297,2.219,13.08,29.929,40.406,13.096,1.27,0.0,0.0,0.0,0.0,0.0
2011-01-27,0.4212,28.388,10.478,22.417,28.314,9.256,1.147,0.0,0.0,0.0,0.0,0.0
2011-01-28,0.4444840444,1.428,37.031,20.297,30.763,9.265,1.216,0.0,0.0,0.0,0.0,0.0
2011-01-29,0.439,2.69,36.134,20.4,30.303,9.223,1.249,0.0,0.0,0.0,0.0,0.0
2011-01-30,0.4771420339,1.879,35.394,22.255,29.576,9.606,1.289,0.0,0.0,0.0,0.0,0.0
2011-01-31,0.5251368703,5.478,33.772,22.67,27.297,9.479,1.304,0.0,0.0,0.0,0.0,0.0
2011-02-01,0.7075101169,6.914,34.25,22.387,25.938,9.207,1.305,0.0,0.0,0.0,0.0,0.0
2011-02-02,0.7254348217,8.004,36.221,20.941,24.42,9.112,1.301,0.0,0.0,0.0,0.0,0.0
2011-02-03,0.6938983676,3.649,18.103,43.498,24.299,9.098,1.351,0.0,0.0,0.0,0.0,0.0
2011-02-04,0.8109589714,2.991,19.95,42.268,24.03,9.407,1.353,0.0,0.0,0.0,0.0,0.0
2011-02-05,0.9116714775,4.565,20.365,41.136,23.339,9.256,1.34,0.0,0.0,0.0,0.0,0.0
2011-02-06,0.898,5.611,21.313,39.799,21.391,10.563,1.322,0.0,0.0,0.0,0.0,0.0
2011-02-07,0.88942137,8.888,20.158,39.403,20.74,9.453,1.359,0.0,0.0,0.0,0.0,0.0
2011-02-08,0.918,4.363,21.374,42.957,20.801,9.117,1.388,0.0,0.0,0.0,0.0,0.0
2011-02-09,1.0160502455,6.919,18.974,43.619,20.404,8.695,1.39,0.0,0.0,0.0,0.0,0.0
2011-02-10,0.9796529632,4.757,21.171,43.627,20.54,8.519,1.388,0.0,0.0,0.0,0.0,0.0
2011-02-11,1.0540694535,6.903,20.199,43.476,19.672,8.335,1.415,0.0,0.0,0.0,0.0,0.0
2011-02-12,1.078703284,3.958,22.472,44.024,19.764,8.364,1.416,0.0,0.0,0.0,0.0,0.0
2011-02-13,1.05,3.35,21.86,44.846,20.285,8.245,1.415,0.0,0.0,0.0,0.0,0.0
2011-02-14,1.0700126242,5.474,18.751,46.037,20.409,7.902,1.428,0.0,0.0,0.0,0.0,0.0
2011-02-15,1.05,3.844,20.595,45.663,20.415,8.043,1.44,0.0,0.0,0.0,0.0,0.0
2011-02-16,1.0316876289,2.161,18.646,49.259,20.392,8.064,1.478,0.0,0.0,0.0,0.0,0.0
2011-02-17,1.0399231975,2.225,17.795,49.431,21.016,8.057,1.457,0.019,0.0,0.0,0.0,0.0
2011-02-18,0.8989559147,3.201,14.341,52.092,20.882,8.006,1.459,0.019,0.0,0.0,0.0,0.0
2011-02-19,0.9440281169,2.041,13.924,53.616,21.001,7.938,1.461,0.018,0.0,0.0,0.0,0.0
2011-02-20,0.865,2.377,14.98,52.423,20.834,7.905,1.463,0.018,0.0,0.0,0.0,0.0
2011-02-21,0.8357474284,1.871,11.593,56.144,20.898,8.014,1.462,0.018,0.0,0.0,0.0,0.0
2011-02-22,0.8770417797,2.097,11.09,56.211,21.006,8.099,1.479,0.018,0.0,0.0,0.0,0.0
2011-02-23,0.9,2.125,10.464,56.607,20.977,8.338,1.47,0.018,0.0,0.0,0.0,0.0
2011-02-24,0.9890952659,3.625,9.76,55.414,20.094,9.616,1.474,0.017,0.0,0.0,0.0,0.0
2011-02-25,0.9146520018,2.4,10.725,55.444,20.344,9.591,1.48,0.017,0.0,0.0,0.0,0.0
2011-02-26,0.958,3.512,9.733,42.136,33.754,9.386,1.462,0.017,0.0,0.0,0.0,0.0
2011-02-27,0.8950331146,6.169,9.121,40.959,33.147,9.145,1.443,0.017,0.0,0.0,0.0,0.0
2011-02-28,0.8602209234,3.534,12.727,40.983,32.009,9.298,1.432,0.016,0.0,0.0,0.0,0.0
2011-03-01,0.9210968919,26.314,12.317,29.605,22.639,7.843,1.269,0.014,0.0,0.0,0.0,0.0
2011-03-02,0.9399,14.162,24.197,29.16,22.549,8.604,1.313,0.014,0.0,0.0,0.0,0.0
2011-03-03,0.9390733834,3.766,33.279,29.493,23.563,8.565,1.32,0.014,0.0,0.0,0.0,0.0
2011-03-04,0.9011,5.992,31.295,27.699,25.23,8.452,1.319,0.014,0.0,0.0,0.0,0.0
2011-03-05,0.9078406067,2.239,35.0,27.204,25.786,8.447,1.311,0.014,0.0,0.0,0.0,0.0
2011-03-06,0.8847709731,4.255,29.952,29.681,26.389,8.383,1.326,0.014,0.0,0.0,0.0,0.0
2011-03-07,0.8775838644,5.182,26.881,31.301,26.886,8.321,1.416,0.014,0.0,0.0,0.0,0.0
2011-03-08,0.8660715915,2.765,17.836,41.941,27.455,8.571,1.418,0.014,0.0,0.0,0.0,0.0
2011-03-09,0.86,1.606,9.256,51.23,27.919,8.547,1.429,0.014,0.0,0.0,0.0,0.0
2011-03-10,0.9206703098,2.692,8.27,50.98,28.087,8.503,1.453,0.013,0.0,0.0,0.0,0.0
2011-03-11,0.88,1.823,8.798,49.048,30.418,8.418,1.481,0.013,0.0,0.0,0.0,0.0
2011-03-12,0.9178155132,2.437,9.137,48.304,30.545,8.087,1.476,0.013,0.0,0.0,0.0,0.0
2011-03-13,0.89249,3.944,7.241,48.24,30.715,8.364,1.482,0.013,0.0,0.0,0.0,0.0
2011-03-14,0.8939249229,6.381,8.115,44.973,30.873,8.16,1.485,0.013,0.0,0.0,0.0,0.0
2011-03-15,0.87224,2.137,12.667,44.449,31.095,8.152,1.487,0.013,0.0,0.0,0.0,0.0
2011-03-16,0.8512116657,1.877,13.584,43.354,31.761,7.924,1.487,0.013,0.0,0.0,0.0,0.0
2011-03-17,0.82542,2.048,13.715,42.412,32.44,7.857,1.516,0.013,0.0,0.0,0.0,0.0
2011-03-18,0.8019592081,1.429,14.812,40.966,33.26,7.997,1.524,0.013,0.0,0.0,0.0,0.0
2011-03-19,0.765,1.01,15.086,40.846,33.075,8.4,1.57,0.013,0.0,0.0,0.0,0.0
2011-03-20,0.7415,1.018,10.711,44.676,33.415,8.579,1.588,0.013,0.0,0.0,0.0,0.0
2011-03-21,0.75897,1.279,5.808,48.336,33.958,9.012,1.594,0.013,0.0,0.0,0.0,0.0
2011-03-22,0.8091302928,2.362,4.483,47.616,34.764,9.157,1.605,0.013,0.0,0.0,0.0,0.0
2011-03-23,0.84971,1.879,5.07,47.572,34.852,9.002,1.612,0.012,0.0,0.0,0.0,0.0
2011-03-24,0.8723743659,3.292,4.139,47.213,34.874,8.842,1.628,0.012,0.0,0.0,0.0,0.0
2011-03-25,0.88377,2.286,4.688,47.412,35.136,8.838,1.626,0.012,0.0,0.0,0.0,0.0
2011-03-26,0.8552,3.212,5.405,45.948,35.087,8.719,1.618,0.012,0.0,0.0,0.0,0.0
2011-03-27,0.822,2.414,6.964,45.425,34.902,8.661,1.621,0.012,0.0,0.0,0.0,0.0
2011-03-28,0.7947405003,1.538,8.194,44.667,35.28,8.683,1.625,0.012,0.0,0.0,0.0,0.0
2011-03-29,0.7925099416,1.144,8.584,43.405,36.075,9.146,1.634,0.012,0.0,0.0,0.0,0.0
2011-03-30,0.7897063121,1.855,7.459,42.257,37.616,9.065,1.737,0.012,0.0,0.0,0.0,0.0
2011-03-31,0.78461,1.858,6.818,33.061,47.424,9.069,1.758,0.012,0.0,0.0,0.0,0.0
2011-04-01,0.77411,0.957,7.589,24.724,55.929,9.03,1.758,0.012,0.0,0.0,0.0,0.0
2011-04-02,0.78199,2.032,5.605,25.379,56.108,9.073,1.791,0.012,0.0,0.0,0.0,0.0
2011-04-03,0.779,1.08,6.377,25.168,56.504,9.069,1.79,0.012,0.0,0.0,0.0,0.0
2011-04-04,0.68,2.062,5.576,25.396,56.175,9.003,1.776,0.012,0.0,0.0,0.0,0.0
2011-04-05,0.7156918346,1.37,6.723,23.957,57.12,9.047,1.771,0.012,0.0,0.0,0.0,0.0
2011-04-06,0.74,1.194,6.812,23.532,56.901,9.764,1.786,0.012,0.0,0.0,0.0,0.0
2011-04-07,0.7538,1.098,6.208,24.213,56.65,10.027,1.793,0.012,0.0,0.0,0.0,0.0
2011-04-08,0.74999,1.889,5.953,23.869,56.259,10.217,1.801,0.011,0.0,0.0,0.0,0.0
2011-04-09,0.7340605172,1.459,5.734,24.339,55.858,10.764,1.835,0.011,0.0,0.0,0.0,0.0
