d,price_usd,lth_realized_price
2011-06-01,9.623777232,
2011-06-02,10.7027602279,
2011-06-03,14.2646467738,
2011-06-04,18.3127387259,
2011-06-05,16.5433423963,
2011-06-06,18.4020986441,
2011-06-07,23.2378784629,
2011-06-08,29.0299213267,
2011-06-09,28.7905440181,
2011-06-10,24.0493992285,
2011-06-11,14.7497466277,
2011-06-12,18.8501447312,
2011-06-13,19.5423291146,
2011-06-14,19.2577355056,
2011-06-15,19.4641426242,
2011-06-16,17.9293625424,
2011-06-17,15.4363689129,
2011-06-18,16.8754045354,
2011-06-19,17.5107167914,
2011-06-20,17.5107167914,
2011-06-21,17.5107167914,
2011-06-22,17.5107167914,
2011-06-23,17.5107167914,
2011-06-24,17.5107167914,
2011-06-25,17.5107167914,
2011-06-26,16.3613420158,
2011-06-27,16.7522858133,
2011-06-28,16.9618353071,
2011-06-29,16.8545683179,
2011-06-30,16.1852627808,
2011-07-01,15.4203573992,
2011-07-02,15.3828440696,
2011-07-03,15.4575505605,
2011-07-04,13.8527968124,
2011-07-05,12.9648177148,
2011-07-06,14.7147835833,
2011-07-07,14.7972891613,
2011-07-08,14.299037697,
2011-07-09,14.3815006698,
2011-07-10,14.6229375511,
2011-07-11,14.3101554331,
2011-07-12,14.0212726216,
2011-07-13,13.9714545225,
2011-07-14,13.9979745476,
2011-07-15,13.8063904056,
2011-07-16,13.7130792992,
2011-07-17,13.2581353109,
2011-07-18,13.6305212504,
2011-07-19,13.8247948387,
2011-07-20,13.6783305921,
2011-07-21,13.6118084418,
2011-07-22,13.6985473311,
2011-07-23,13.6817183425,
2011-07-24,13.9925151765,
2011-07-25,14.0334253787,
2011-07-26,13.8780323232,
2011-07-27,13.8782247551,
2011-07-28,13.4915910757,
2011-07-29,13.5123163901,
2011-07-30,13.5402806739,
2011-07-31,13.3729061023,
2011-08-01,13.0191138469,
2011-08-02,12.2141564389,
2011-08-03,9.2863569135,
2011-08-04,10.7685037481,
2011-08-05,9.7301539597,
2011-08-06,6.9641697358,
2011-08-07,8.5017932922,
2011-08-08,7.7753376379,
2011-08-09,9.802499481,
2011-08-10,10.0512531274,
2011-08-11,9.4384129947,
2011-08-12,9.4529932852,
2011-08-13,10.0040247446,
2011-08-14,10.8068207665,
2011-08-15,11.13069655,
2011-08-16,10.9919655669,
2011-08-17,10.9639640561,
2011-08-18,10.8584714559,
2011-08-19,11.6704730432,
2011-08-20,11.4597317393,
2011-08-21,11.3544813407,
2011-08-22,10.9208958247,
2011-08-23,10.9172450544,
2011-08-24,10.8704442899,
2011-08-25,9.5460936736,
2011-08-26,8.1269201631,
2011-08-27,8.5964976067,
2011-08-28,9.0308663998,
2011-08-29,8.9611572706,
2011-08-30,8.8099487382,
2011-08-31,8.1991517645,
2011-09-01,8.2342816651,
2011-09-02,8.6214244378,
2011-09-03,8.4496534407,
2011-09-04,8.2034706023,
2011-09-05,7.5973325251,
2011-09-06,6.8465300289,
2011-09-07,7.1629702735,
2011-09-08,6.6781800003,
2011-09-09,4.9867770418,
2011-09-10,4.7428466552,
2011-09-11,5.8529039725,
2011-09-12,6.0906294722,
2011-09-13,5.802523277,
2011-09-14,5.5974326102,
2011-09-15,4.8677551847,
2011-09-16,4.8311681005,
2011-09-17,4.7752856353,
2011-09-18,5.2367322782,
2011-09-19,5.520376692,
2011-09-20,6.1466655517,
2011-09-21,5.597067498,
2011-09-22,5.4750487767,
2011-09-23,5.5634214196,
2011-09-24,5.4578896873,
2011-09-25,5.3411548814,
2011-09-26,4.8738260812,
2011-09-27,4.9111577925,
2011-09-28,4.7634153214,
2011-09-29,4.7776609784,
2011-09-30,5.14368591,
2011-10-01,5.0340705447,
2011-10-02,5.0070625967,
2011-10-03,5.0228448603,
2011-10-04,4.9568056207,
2011-10-05,4.8850671309,
2011-10-06,4.7301662957,
2011-10-07,4.2760357569,
2011-10-08,3.9812529942,
2011-10-09,4.1116346435,
2011-10-10,4.0749624839,
2011-10-11,4.0089244959,
2011-10-12,4.1662353425,
2011-10-13,4.03698109,
2011-10-14,3.9862808854,
2011-10-15,3.8373385605,
2011-10-16,3.6097417165,
2011-10-17,2.5812467218,
2011-10-18,2.4222747382,
2011-10-19,2.217254713,
2011-10-20,2.3561235085,
2011-10-21,2.5700923051,
2011-10-22,3.1554861385,
2011-10-23,3.1477509299,
2011-10-24,2.5229359977,
2011-10-25,2.8019238311,
2011-10-26,2.777505239,
2011-10-27,3.0454078276,
2011-10-28,3.1796394366,
2011-10-29,3.5691889687,
2011-10-30,3.257403723,
2011-10-31,3.2650982127,
2011-11-01,3.1710077428,
2011-11-02,3.2558005666,
2011-11-03,3.1683163852,
2011-11-04,3.1201181718,
2011-11-05,2.9778175979,
2011-11-06,2.9627205769,
2011-11-07,3.0177576873,
2011-11-08,3.056567111,
2011-11-09,2.9195672238,
2011-11-10,2.8567020853,
2011-11-11,3.0678617335,
2011-11-12,3.0255229959,
2011-11-13,2.9863733033,
2011-11-14,2.2242244643,
2011-11-15,2.3223841157,
2011-11-16,2.5467809307,
2011-11-17,2.2790958358,
2011-11-18,2.1050660032,
2011-11-19,2.2034567218,
2011-11-20,2.2019895096,
2011-11-21,2.2798791654,
2011-11-22,2.3224585961,
2011-11-23,2.3303235675,
2011-11-24,2.4388790003,
2011-11-25,2.4961610029,
2011-11-26,2.471799969,
2011-11-27,2.4775649512,
2011-11-28,2.5412402522,
2011-11-29,2.7576984828,
2011-11-30,2.9660415459,
2011-12-01,3.08258945,
2011-12-02,3.1004023331,
2011-12-03,2.8038561853,
2011-12-04,2.819693976,
2011-12-05,2.8747962274,
2011-12-06,3.0253604515,
2011-12-07,2.9855024211,
2011-12-08,2.9918804831,
2011-12-09,2.9557919521,
2011-12-10,3.0689752671,
2011-12-11,3.2492688472,
2011-12-12,3.1873353565,
2011-12-13,3.2410884085,
2011-12-14,3.1550865044,
2011-12-15,3.2031385406,
2011-12-16,3.2091377773,
2011-12-17,3.1925417043,
2011-12-18,3.1940108089,
2011-12-19,3.5257739193,
2011-12-20,3.9525508273,
2011-12-21,3.8889932507,
2011-12-22,3.9030604205,
2011-12-23,3.937965076,
2011-12-24,3.9394191186,
2011-12-25,4.2338668778,
2011-12-26,3.9991219641,
2011-12-27,4.0955185459,
2011-12-28,4.2072958761,
2011-12-29,4.1733522268,
2011-12-30,4.31063509,
2011-12-31,4.7143063314,
2012-01-01,5.2948427773,4.938
2012-01-02,5.2048778919,4.937
2012-01-03,4.8705088288,4.946
2012-01-04,5.5857062671,4.971
2012-01-05,6.8740008773,4.983
2012-01-06,6.68331664,5.008
2012-01-07,6.7962279807,5.007
2012-01-08,7.0966505663,5.003
2012-01-09,6.2885383425,5.01
2012-01-10,6.5284745552,4.998
2012-01-11,6.8891277212,5.026
2012-01-12,6.7735641958,5.042
2012-01-13,6.4543688901,5.04
2012-01-14,6.7617271426,5.039
2012-01-15,7.0469225582,5.059
2012-01-16,6.7156076666,5.058
2012-01-17,5.5996219503,5.06
2012-01-18,5.9002312881,5.065
2012-01-19,6.3157063416,5.069
2012-01-20,6.5014919883,5.075
2012-01-21,6.1805683255,5.085
2012-01-22,6.3029672268,5.098
2012-01-23,6.3748760771,5.108
2012-01-24,6.2744764757,5.107
2012-01-25,5.8104650725,5.105
2012-01-26,5.3672269544,5.141
2012-01-27,5.303137197,5.139
2012-01-28,5.659796775,5.135
2012-01-29,5.3914294573,5.133
2012-01-30,5.5034819386,5.133
2012-01-31,5.5382202957,5.132
2012-02-01,6.0752326523,5.18
2012-02-02,6.0995729129,5.181
2012-02-03,5.9516109275,5.181
2012-02-04,5.895413239,5.182
2012-02-05,5.6781157171,5.186
2012-02-06,5.4826640584,5.179
2012-02-07,5.6620277002,5.182
2012-02-08,5.6185281899,5.184
2012-02-09,5.8356998542,5.19
2012-02-10,5.9378341555,5.184
2012-02-11,5.6121328533,5.201
2012-02-12,5.5190971695,5.202
2012-02-13,5.3483545593,5.229
2012-02-14,4.4836540918,5.207
2012-02-15,4.325520322,5.205
2012-02-16,4.255239045,5.206
2012-02-17,4.3915383729,5.221
2012-02-18,4.2700812776,5.209
2012-02-19,4.3895514582,5.209
2012-02-20,4.3651359389,5.209
2012-02-21,4.315115602,5.209
2012-02-22,4.4193102876,5.208
2012-02-23,5.0395151181,5.207
2012-02-24,5.0256087589,5.205
2012-02-25,4.7725673811,5.206
2012-02-26,4.9264208515,5.205
