d,price_usd,mvrv_zscore
2010-10-01,0.0619733139,9.485975
2010-10-02,0.0614,9.097791
2010-10-03,0.0610648685,9.062038
2010-10-04,0.0612944769,9.137651
2010-10-05,0.0614,9.110473
2010-10-06,0.06281,9.403513
2010-10-07,0.067,10.106985
2010-10-08,0.0844531081,11.68325
2010-10-09,0.0938,10.830697
2010-10-10,0.0971462011,9.585148
2010-10-11,0.095,8.342372
2010-10-12,0.0949,7.649895
2010-10-13,0.1048655891,7.731437
2010-10-14,0.102,6.885143
2010-10-15,0.105,6.582281
2010-10-16,0.101,5.906423
2010-10-17,0.102,5.697687
2010-10-18,0.1024,5.47629
2010-10-19,0.0975448919,4.981644
2010-10-20,0.099,4.927596
2010-10-21,0.107,5.204322
2010-10-22,0.1025,4.769334
2010-10-23,0.1045564243,4.744033
2010-10-24,0.11501,5.121516
2010-10-25,0.1391185529,5.966119
2010-10-26,0.151,5.975212
2010-10-27,0.1877,6.633398
2010-10-28,0.1731,5.446795
2010-10-29,0.19,5.524132
2010-10-30,0.1976105435,5.290219
2010-10-31,0.1925,4.773815
2010-11-01,0.1945250614,4.549811
2010-11-02,0.1938,4.291921
2010-11-03,0.1931,4.081346
2010-11-04,0.2292751607,4.639416
2010-11-05,0.2591124138,4.929681
2010-11-06,0.4009823027,6.569828
2010-11-07,0.34,4.93643
2010-11-08,0.2431846289,3.161201
2010-11-09,0.2172726943,2.680075
2010-11-10,0.2295497312,2.822105
2010-11-11,0.2231,2.671524
2010-11-12,0.2682,3.280662
2010-11-13,0.276,3.288783
2010-11-14,0.27904,3.229833
2010-11-15,0.2684645558,2.976007
2010-11-16,0.225,2.331216
2010-11-17,0.2419393337,2.532686
2010-11-18,0.2690577908,2.849121
2010-11-19,0.27829,2.905251
2010-11-20,0.2830159649,2.899075
2010-11-21,0.27675,2.764366
2010-11-22,0.285,2.814914
2010-11-23,0.28295,2.73728
2010-11-24,0.2829057364,2.6885
2010-11-25,0.28,2.607544
2010-11-26,0.2844,2.614777
2010-11-27,0.283,2.560626
2010-11-28,0.2713586791,2.395097
2010-11-29,0.2305594565,1.908004
2010-11-30,0.2082,1.643475
2010-12-01,0.2275,1.865423
2010-12-02,0.255,2.162135
2010-12-03,0.2510600836,2.102792
2010-12-04,0.205000526,1.56682
2010-12-05,0.2028500175,1.540866
2010-12-06,0.204,1.543203
2010-12-07,0.2334203857,1.872865
2010-12-08,0.2388,1.926469
2010-12-09,0.1999916943,1.474005
2010-12-10,0.204,1.521216
2010-12-11,0.228,1.795326
2010-12-12,0.2198536119,1.696597
2010-12-13,0.2276052367,1.778625
2010-12-14,0.24669,1.991023
2010-12-15,0.24,1.901911
2010-12-16,0.24996,2.00643
2010-12-17,0.2426558153,1.914512
2010-12-18,0.241,1.887359
2010-12-19,0.2401,1.87121
2010-12-20,0.267,2.159177
2010-12-21,0.2414360023,1.845698
2010-12-22,0.25,1.935541
2010-12-23,0.249970128,1.927025
2010-12-24,0.248,1.897241
2010-12-25,0.2499,1.910863
2010-12-26,0.2649621274,2.069603
2010-12-27,0.2647853887,2.056344
2010-12-28,0.281,2.221952
2010-12-29,0.3,2.400007
2010-12-30,0.3,2.377139
2010-12-31,0.3,2.357002
2011-01-01,0.3,2.33788
2011-01-02,0.29997,2.315785
2011-01-03,0.295,2.244552
2011-01-04,0.29895,2.270654
2011-01-05,0.2989163022,2.253817
2011-01-06,0.298,2.228564
2011-01-07,0.32,2.438118
2011-01-08,0.3229,2.44459
2011-01-09,0.323,2.423464
2011-01-10,0.32659,2.429406
2011-01-11,0.32659,2.388193
2011-01-12,0.3187996213,2.29122
2011-01-13,0.3176,2.253799
2011-01-14,0.3999900058,3.029055
2011-01-15,0.386,2.846001
2011-01-16,0.38679,2.807405
2011-01-17,0.3495,2.417798
2011-01-18,0.31299,2.05325
2011-01-19,0.31299,2.035188
2011-01-20,0.39,2.737578
2011-01-21,0.41991,2.970215
2011-01-22,0.4400355289,3.097767
2011-01-23,0.4424,3.052888
2011-01-24,0.4199,2.801947
