d,price_usd,nupl
2013-01-01,13.331371422,0.4367
2013-01-02,13.280606813,0.4345
2013-01-03,13.3840811485,0.4383
2013-01-04,13.4517211496,0.4403
2013-01-05,13.4594067668,0.4402
2013-01-06,13.5044965079,0.4417
2013-01-07,13.5560616578,0.4432
2013-01-08,13.7803506312,0.4507
2013-01-09,13.8209552566,0.4517
2013-01-10,14.1231728556,0.4616
2013-01-11,14.2276211227,0.4643
2013-01-12,14.214285656,0.4632
2013-01-13,14.1607882671,0.4604
2013-01-14,14.3179703203,0.4654
2013-01-15,14.3136377516,0.4642
2013-01-16,14.7078140479,0.4768
2013-01-17,15.5985997396,0.503
2013-01-18,15.7157911239,0.5047
2013-01-19,15.5881263998,0.4997
2013-01-20,15.7195921373,0.5029
2013-01-21,16.7810195207,0.5306
2013-01-22,17.3001788387,0.5392
2013-01-23,17.5363954229,0.5425
2013-01-24,16.9010860722,0.5237
2013-01-25,17.4072020292,0.5354
2013-01-26,17.5536291761,0.5372
2013-01-27,17.8646280148,0.5415
2013-01-28,18.7942648743,0.5605
2013-01-29,19.5147141861,0.5697
2013-01-30,19.7374466864,0.57
2013-01-31,20.5116430307,0.5803
2013-02-01,20.4430919562,0.571
2013-02-02,19.6359017054,0.5526
2013-02-03,20.5789396832,0.5706
2013-02-04,20.4404879614,0.5658
2013-02-05,20.6593447276,0.568
2013-02-06,21.2085655319,0.5765
2013-02-07,22.1177651789,0.5907
2013-02-08,22.7873650499,0.5983
2013-02-09,23.7338601537,0.6109
2013-02-10,23.9002893571,0.6118
2013-02-11,24.4972726949,0.6183
2013-02-12,24.9797364074,0.6222
2013-02-13,24.6416509348,0.6134
2013-02-14,27.2823898203,0.6451
2013-02-15,27.1712692291,0.6382
2013-02-16,27.346163562,0.6371
2013-02-17,26.9272513764,0.6287
2013-02-18,26.9288676371,0.6262
2013-02-19,29.4136243808,0.6527
2013-02-20,29.8198072276,0.6535
2013-02-21,29.8180689158,0.6509
2013-02-22,30.4726565324,0.6546
2013-02-23,29.8064545459,0.6448
2013-02-24,29.8828484924,0.6414
2013-02-25,30.352033095,0.6397
2013-02-26,31.1555373507,0.6455
2013-02-27,31.240261083,0.6448
2013-02-28,33.3752939366,0.659
2013-03-01,34.6062570341,0.6666
2013-03-02,34.143515924,0.6601
2013-03-03,34.4517404845,0.6614
2013-03-04,36.3762652507,0.6753
2013-03-05,40.6729539903,0.7007
2013-03-06,43.2849961852,0.7068
2013-03-07,41.9474407158,0.6918
2013-03-08,43.902928915,0.7018
2013-03-09,46.8885866123,0.715
2013-03-10,46.066038459,0.7071
2013-03-11,48.2750745772,0.7164
2013-03-12,44.4135452582,0.6892
2013-03-13,47.0161908516,0.7019
2013-03-14,46.9255625535,0.698
2013-03-15,46.9025172478,0.6945
2013-03-16,47.1570156996,0.6939
2013-03-17,47.3334997838,0.6928
2013-03-18,51.3654363913,0.7118
2013-03-19,59.4986011114,0.741
2013-03-20,63.6874854982,0.7504
2013-03-21,70.9175250053,0.7639
2013-03-22,69.8460845418,0.7534
2013-03-23,64.3831163705,0.7302
2013-03-24,71.6904242065,0.7516
2013-03-25,74.3140892496,0.7515
2013-03-26,78.614197432,0.7591
2013-03-27,88.8520799138,0.7776
2013-03-28,87.6731739608,0.7664
2013-03-29,90.2956993583,0.7675
2013-03-30,92.1899599883,0.7647
2013-03-31,93.8992384231,0.7656
2013-04-01,103.5803469112,0.7754
2013-04-02,116.6799442412,0.7896
2013-04-03,131.3848093782,0.7938
2013-04-04,133.0071204757,0.789
2013-04-05,142.626065488,0.7878
2013-04-06,143.0818229649,0.7833
2013-04-07,162.8522145769,0.802
2013-04-08,186.351161848,0.8125
2013-04-09,230.6829966952,0.8227
2013-04-10,161.192889661,0.7368
2013-04-11,82.901585038,0.5235
2013-04-12,111.476373194,0.648
2013-04-13,97.6090718703,0.6003
2013-04-14,88.8614913998,0.5642
2013-04-15,80.874693166,0.5273
2013-04-16,68.2831387271,0.4478
2013-04-17,92.8640369135,0.5873
2013-04-18,108.6283450923,0.6408
2013-04-19,119.012283239,0.6667
2013-04-20,128.208288893,0.6861
2013-04-21,118.4832437563,0.6569
2013-04-22,126.3142717598,0.6746
2013-04-23,142.1272180532,0.7044
2013-04-24,154.1332778045,0.7151
2013-04-25,141.0086592785,0.6837
2013-04-26,137.2096004196,0.673
2013-04-27,128.2266696052,0.6476
2013-04-28,134.6235695617,0.6625
2013-04-29,143.8103781926,0.6795
2013-04-30,139.1296475453,0.6667
2013-05-01,116.1138010403,0.6032
2013-05-02,106.3409846973,0.5692
2013-05-03,96.3168402741,0.5258
2013-05-04,112.4976363691,0.5928
2013-05-05,116.488715827,0.6051
2013-05-06,112.1185961952,0.5891
2013-05-07,111.6092128735,0.5866
2013-05-08,113.1360618548,0.5918
2013-05-09,111.9745327107,0.5871
2013-05-10,117.6910368837,0.6072
2013-05-11,115.4997776628,0.5979
2013-05-12,114.8856755596,0.595
2013-05-13,117.4044566461,0.6027
2013-05-14,107.8655665693,0.5683
2013-05-15,108.9868524255,0.5717
2013-05-16,112.9178740503,0.5859
2013-05-17,117.284616014,0.6001
2013-05-18,118.1698766803,0.6007
2013-05-19,117.033880187,0.5964
2013-05-20,117.8186364699,0.5983
2013-05-21,117.2520409117,0.5958
2013-05-22,118.9781735827,0.6008
2013-05-23,123.7261560491,0.6147
2013-05-24,128.9710806546,0.6284
2013-05-25,128.8449152542,0.6233
2013-05-26,130.1586011105,0.6265
2013-05-27,126.392905903,0.6145
2013-05-28,125.9045952659,0.6122
2013-05-29,129.5648123904,0.6211
2013-05-30,126.5130683811,0.6109
2013-05-31,127.8164888954,0.6134
2013-06-01,128.7911510812,0.6153
2013-06-02,122.6267089421,0.5952
2013-06-03,122.9491879018,0.5953
2013-06-04,120.1899687317,0.5851
2013-06-05,120.8699238457,0.5861
2013-06-06,119.0539756698,0.5773
2013-06-07,110.1977314436,0.5437
2013-06-08,109.1785453413,0.5395
2013-06-09,99.9036034483,0.4971
2013-06-10,104.3575666277,0.5187
2013-06-11,107.5075204559,0.5317
2013-06-12,106.3781163063,0.5268
2013-06-13,101.3238977206,0.504
2013-06-14,99.2132443016,0.4937
2013-06-15,99.875037405,0.4969
2013-06-16,99.0383512566,0.4926
2013-06-17,100.1263050847,0.4981
2013-06-18,104.2891763822,0.5179
2013-06-19,104.417150789,0.5182
2013-06-20,104.3234997078,0.5177
2013-06-21,101.4168573933,0.5041
2013-06-22,100.0395084746,0.4971
2013-06-23,100.3147445938,0.4985
2013-06-24,99.0456832262,0.4919
2013-06-25,97.83278872,0.4856
2013-06-26,98.6517007598,0.4896
2013-06-27,96.8039495991,0.4801
2013-06-28,89.4245067212,0.4386
2013-06-29,88.7972910579,0.4345
2013-06-30,89.4809076563,0.4392
2013-07-01,82.8675701344,0.3946
2013-07-02,87.8164666861,0.4278
2013-07-03,77.6913308007,0.3556
2013-07-04,79.1348708358,0.3682
2013-07-05,67.4476238527,0.2654
2013-07-06,66.3416808884,0.2584
2013-07-07,72.1095223729,0.3174
2013-07-08,73.9885537697,0.3346
2013-07-09,74.8919108708,0.3431
2013-07-10,85.013679135,0.4177
2013-07-11,87.4975493863,0.4335
2013-07-12,90.0466987142,0.4478
2013-07-13,91.592597896,0.4553
2013-07-14,89.8922692759,0.4448
2013-07-15,93.7961525424,0.4671
2013-07-16,91.7810356517,0.4558
2013-07-17,91.0313512566,0.4517
2013-07-18,84.9617291175,0.4143
2013-07-19,86.2387945996,0.4235
2013-07-20,84.9108591467,0.4149
2013-07-21,85.6643502618,0.42
2013-07-22,85.6490286382,0.4201
2013-07-23,86.977056692,0.4287
2013-07-24,88.1517305669,0.4359
2013-07-25,90.1660922268,0.448
2013-07-26,89.9839859731,0.4465
2013-07-27,88.1652758621,0.4348
2013-07-28,92.7458421975,0.462
2013-07-29,93.2986972531,0.4652
2013-07-30,96.659552893,0.4827
2013-07-31,98.0244199299,0.4885
2013-08-01,96.5680178258,0.4804
2013-08-02,96.0745306838,0.476
2013-08-03,95.5067095266,0.4692
2013-08-04,96.3654821742,0.4735
2013-08-05,97.5271338399,0.4786
2013-08-06,97.6712066043,0.4791
2013-08-07,97.0542068966,0.4754
2013-08-08,94.2572717709,0.4597
2013-08-09,92.4727767387,0.4491
2013-08-10,93.293552893,0.4537
2013-08-11,94.2713123904,0.459
2013-08-12,95.4464707773,0.4653
2013-08-13,97.7590750847,0.4751
2013-08-14,99.1212875511,0.4815
2013-08-15,98.1063331385,0.4751
2013-08-16,98.2909602572,0.4756
2013-08-17,99.6305043834,0.4819
2013-08-18,99.1780397428,0.4791
2013-08-19,102.7840122735,0.4963
2013-08-20,104.5002109877,0.5035
2013-08-21,110.8016037405,0.5301
2013-08-22,109.5232168323,0.5239
2013-08-23,107.6975715956,0.5148
2013-08-24,108.8826750438,0.5195
2013-08-25,113.0825634132,0.5365
2013-08-26,112.1181148451,0.5316
2013-08-27,117.7597907656,0.5524
2013-08-28,118.3174143776,0.553
2013-08-29,118.8356382233,0.5534
2013-08-30,124.8853796026,0.5731
2013-08-31,128.3779789597,0.5826
2013-09-01,130.5363720047,0.5876
2013-09-02,129.5653717124,0.5829
2013-09-03,129.1828036236,0.5788
2013-09-04,122.5292387493,0.5558
2013-09-05,122.370085038,0.5546
2013-09-06,117.8611464056,0.5372
2013-09-07,119.8149894798,0.5441
2013-09-08,118.0573863238,0.537
2013-09-09,121.2592726476,0.5475
2013-09-10,122.2155301894,0.5501
2013-09-11,127.0882270602,0.5657
2013-09-12,126.7807235535,0.5622
2013-09-13,127.4077451783,0.5636
2013-09-14,124.3484774985,0.5512
2013-09-15,125.0764178843,0.5532
2013-09-16,126.2046659848,0.5561
2013-09-17,126.8972501461,0.5578
2013-09-18,126.9038194039,0.5568
2013-09-19,124.1809573349,0.5443
2013-09-20,122.9216358854,0.5392
2013-09-21,123.5082568673,0.541
2013-09-22,123.1249351257,0.5385
2013-09-23,122.8656990064,0.5371
2013-09-24,123.7973576856,0.5396
2013-09-25,123.614078609,0.5381
2013-09-26,124.6856744594,0.5414
2013-09-27,126.6053477499,0.5476
2013-09-28,126.7965517241,0.5478
2013-09-29,127.1086277031,0.5483
2013-09-30,126.0902618352,0.5437
2013-10-01,127.5754243133,0.5481
2013-10-02,104.1050929281,0.4496
2013-10-03,117.5754950321,0.5109
2013-10-04,121.9303477499,0.5275
2013-10-05,121.3934026885,0.5249
2013-10-06,122.4752612507,0.5283
2013-10-07,123.9068725891,0.5297
2013-10-08,124.7665289305,0.5322
2013-10-09,125.9335203127,0.5355
2013-10-10,126.7046504968,0.5376
2013-10-11,127.2552992402,0.5388
2013-10-12,127.8512630041,0.54
2013-10-13,132.4156586791,0.5549
2013-10-14,135.3391949153,0.5629
2013-10-15,141.493908533,0.5796
2013-10-16,138.327921917,0.5673
2013-10-17,143.7471338399,0.5816
2013-10-18,152.77557218,0.6043
2013-10-19,165.7727171245,0.632
2013-10-20,166.5001510812,0.6317
2013-10-21,179.9106285798,0.6517
2013-10-22,190.4027814144,0.664
2013-10-23,204.6003509643,0.6802
2013-10-24,194.4100437651,0.6605
2013-10-25,185.643787626,0.6324
2013-10-26,179.8082180012,0.6198
2013-10-27,194.5461332554,0.6467
2013-10-28,196.2746873174,0.6483
2013-10-29,204.4281741672,0.6576
2013-10-30,197.900599421,0.6448
2013-10-31,203.2836499123,0.6521
2013-11-01,203.0371098494,0.6495
2013-11-02,204.7928813559,0.6512
2013-11-03,210.2753826117,0.6584
2013-11-04,228.7910388662,0.6777
2013-11-05,243.6416689071,0.6909
2013-11-06,263.2095839871,0.7095
2013-11-07,290.1242261835,0.7261
2013-11-08,333.750656512,0.7531
2013-11-09,331.0511484512,0.7457
2013-11-10,327.5586534997,0.7392
2013-11-11,342.6976928697,0.7459
2013-11-12,354.6454883109,0.7486
2013-11-13,394.5044952244,0.7666
2013-11-14,416.7063033027,0.7715
2013-11-15,408.3987973349,0.7615
2013-11-16,435.7984427674,0.7721
2013-11-17,485.3365768556,0.7889
2013-11-18,657.7785038749,0.83
2013-11-19,546.8783973115,0.7887
2013-11-20,595.3390996493,0.7967
2013-11-21,720.7644252601,0.8242
2013-11-22,802.9169337183,0.8241
2013-11-23,834.2953399891,0.8212
2013-11-24,807.1666954997,0.8112
2013-11-25,816.243386616,0.8052
2013-11-26,916.0971601403,0.8034
2013-11-27,962.9105609117,0.8029
2013-11-28,1007.387163647,0.8003
2013-11-29,1128.7254880187,0.8096
2013-11-30,1119.2967147867,0.8025
2013-12-01,964.4857936879,0.7681
2013-12-02,1040.8082177089,0.7803
2013-12-03,1053.6210274483,0.7786
2013-12-04,1134.9322308884,0.7881
2013-12-05,1027.411772827,0.7617
2013-12-06,824.5817103378,0.7035
2013-12-07,703.7483760257,0.6513
2013-12-08,783.5733483343,0.6849
2013-12-09,896.079289889,0.7224
2013-12-10,977.165367329,0.7424
2013-12-11,875.4640342724,0.7092
2013-12-12,873.3248059877,0.7073
2013-12-13,879.156135301,0.7065
2013-12-14,852.856120526,0.6983
2013-12-15,864.0616578609,0.7006
2013-12-16,677.8941068013,0.6194
2013-12-17,682.626772706,0.622
2013-12-18,526.1209763267,0.512
2013-12-19,685.5251289597,0.6241
2013-12-20,600.2169542607,0.571
2013-12-21,597.0335025482,0.5615
2013-12-22,615.0130352718,0.5808
2013-12-23,657.9266341555,0.6071
2013-12-24,650.6647451783,0.5949
2013-12-25,678.2901580947,0.6096
2013-12-26,749.9965949562,0.645
2013-12-27,722.5705674927,0.6295
2013-12-28,715.8523630789,0.6256
2013-12-29,727.2712156634,0.631
2013-12-30,735.7419970777,0.635
2013-12-31,729.5575829106,0.6316
2014-01-01,752.4045499446,0.6427
2014-01-02,784.9549213144,0.656
2014-01-03,807.2229390298,0.6636
2014-01-04,828.6020626184,0.6668
2014-01-05,902.487380263,0.6911
2014-01-06,914.4599608416,0.6931
2014-01-07,803.3517961987,0.6499
2014-01-08,820.6900095032,0.6541
2014-01-09,831.3347504874,0.6574
2014-01-10,853.2988548446,0.6655
2014-01-11,889.5558371193,0.6762
2014-01-12,845.1913322209,0.6578
2014-01-13,822.8770121975,0.6478
2014-01-14,815.2936027119,0.6431
2014-01-15,841.0898573641,0.6518
2014-01-16,815.8548002981,0.6397
2014-01-17,792.8295064757,0.6289
2014-01-18,809.7835283564,0.6362
2014-01-19,838.4284747341,0.6476
2014-01-20,828.8852165926,0.6426
2014-01-21,823.8179637639,0.6398
2014-01-22,818.9763863238,0.6365
2014-01-23,810.9224251958,0.6324
2014-01-24,781.0425139509,0.6175
2014-01-25,804.4032408007,0.6277
2014-01-26,814.4993813735,0.6318
2014-01-27,742.7013749708,0.5963
2014-01-28,790.1764018761,0.6197
2014-01-29,793.3844249094,0.6203
2014-01-30,799.4744798364,0.6225
2014-01-31,803.2375987849,0.6238
2014-02-01,813.2195492168,0.6268
2014-02-02,814.4908704267,0.6269
2014-02-03,806.9974283725,0.6229
2014-02-04,800.0782318936,0.6194
2014-02-05,784.4736927778,0.5989
2014-02-06,763.5693822326,0.5876
2014-02-07,711.5712734191,0.5583
2014-02-08,677.6823009414,0.5366
2014-02-09,687.4060545763,0.543
2014-02-10,685.4574988369,0.5415
2014-02-11,671.8996916902,0.5326
2014-02-12,653.7657809117,0.5202
2014-02-13,612.918414962,0.4886
2014-02-14,668.7886026593,0.5305
2014-02-15,654.3770601987,0.5201
2014-02-16,623.2503219486,0.4962
2014-02-17,631.3345963063,0.5029
2014-02-18,627.2717614155,0.4996
2014-02-19,623.5401369462,0.4973
2014-02-20,563.7685610988,0.4448
2014-02-21,580.3243159731,0.4606
2014-02-22,607.1246333372,0.4844
2014-02-23,610.0823237463,0.4868
2014-02-24,542.2666507539,0.426
2014-02-25,533.707644436,0.4214
2014-02-26,587.5785882992,0.4737
2014-02-27,585.3939256501,0.4722
2014-02-28,551.2947703098,0.4386
2014-03-01,567.5342354413,0.4551
2014-03-02,558.5277071566,0.4469
2014-03-03,676.505732782,0.5415
2014-03-04,674.5113994331,0.5398
2014-03-05,670.3388510995,0.5361
2014-03-06,667.7128340035,0.5333
2014-03-07,631.7702952133,0.4908
2014-03-08,621.5241144962,0.482
2014-03-09,640.578889322,0.4878
2014-03-10,628.151241166,0.4767
2014-03-11,633.733838235,0.4806
2014-03-12,634.6468237171,0.4802
2014-03-13,643.4321008591,0.4866
2014-03-14,628.3085900058,0.4746
2014-03-15,636.2186500614,0.4809
2014-03-16,634.1689009709,0.479
2014-03-17,622.7602086499,0.4693
2014-03-18,614.3095137171,0.4616
2014-03-19,610.5112034746,0.4581
2014-03-20,586.6075957101,0.4365
2014-03-21,569.6945179953,0.4179
2014-03-22,564.7000267037,0.4126
2014-03-23,558.9588616914,0.4067
2014-03-24,585.023250519,0.4327
2014-03-25,583.7711890941,0.4309
2014-03-26,579.243850401,0.4263
2014-03-27,483.1640126125,0.3141
2014-03-28,498.6613289492,0.3363
2014-03-29,489.5170235476,0.3243
2014-03-30,458.9663282759,0.2806
2014-03-31,455.3553540561,0.2765
2014-04-01,479.0084658679,0.3126
2014-04-02,439.0114925248,0.2513
2014-04-03,449.4411515196,0.2689
2014-04-04,449.719869737,0.2699
2014-04-05,461.6753314822,0.2912
2014-04-06,458.6334805445,0.2864
2014-04-07,448.6552750664,0.271
2014-04-08,452.803098796,0.2782
2014-04-09,442.8379849322,0.2618
2014-04-10,366.9118660634,0.114
2014-04-11,421.9435280713,0.2313
2014-04-12,424.2742126476,0.2356
2014-04-13,416.362321654,0.2212
2014-04-14,461.1082465866,0.2964
2014-04-15,521.6152996061,0.3771
2014-04-16,531.481846732,0.3859
2014-04-17,499.8375515447,0.3464
2014-04-18,483.0200135336,0.3243
2014-04-19,504.3655951785,0.3527
2014-04-20,501.5571844492,0.3494
2014-04-21,498.084530301,0.3448
2014-04-22,489.5035100292,0.3337
2014-04-23,490.6329675433,0.334
2014-04-24,503.2918010286,0.3504
2014-04-25,466.4261713442,0.2998
2014-04-26,459.2267098188,0.2889
2014-04-27,438.7093637173,0.2559
2014-04-28,441.5478054681,0.2616
2014-04-29,447.709930772,0.272
2014-04-30,448.875715514,0.274
2014-05-01,460.194698256,0.2918
2014-05-02,452.2397797617,0.2793
2014-05-03,438.9785880058,0.2578
2014-05-04,436.6753986447,0.2542
2014-05-05,432.3381790354,0.2472
2014-05-06,430.1282053945,0.2439
2014-05-07,442.1828760959,0.2647
2014-05-08,440.4027627119,0.2618
2014-05-09,452.6979997236,0.2817
2014-05-10,456.7558462887,0.2881
2014-05-11,439.1144760374,0.2596
2014-05-12,441.2809555815,0.2634
2014-05-13,439.0057749854,0.2599
2014-05-14,444.8482057276,0.2699
2014-05-15,446.9615587376,0.2734
2014-05-16,448.7421537113,0.2766
2014-05-17,449.2222893045,0.2773
2014-05-18,446.9626414378,0.2736
2014-05-19,447.4048568089,0.2745
2014-05-20,490.335648159,0.3372
2014-05-21,493.9334918177,0.3415
2014-05-22,526.8142884278,0.3815
2014-05-23,523.6993202805,0.3774
2014-05-24,527.6912431327,0.3813
2014-05-25,573.312458796,0.4289
2014-05-26,584.8479748685,0.4395
2014-05-27,573.9282692455,0.424
2014-05-28,579.1893188194,0.4285
2014-05-29,570.3493109293,0.4193
2014-05-30,620.8463606078,0.463
2014-05-31,627.8924206897,0.468
2014-06-01,630.0749535359,0.4689
2014-06-02,663.5057238457,0.4938
2014-06-03,672.3878971362,0.4992
2014-06-04,643.8873687902,0.4764
2014-06-05,661.5035581531,0.4894
2014-06-06,650.1333158971,0.4803
2014-06-07,656.8002717709,0.4851
2014-06-08,657.8199748685,0.4853
2014-06-09,648.3363223261,0.4767
2014-06-10,650.936609585,0.4777
2014-06-11,631.4890222092,0.4611
2014-06-12,591.9750771479,0.4172
2014-06-13,597.0449997078,0.4216
2014-06-14,575.5594617183,0.4002
2014-06-15,589.7246464056,0.4144
2014-06-16,590.5674821742,0.4148
2014-06-17,609.0800029223,0.4323
2014-06-18,607.6297960257,0.4307
2014-06-19,595.7514769141,0.4192
2014-06-20,591.5315227937,0.4148
2014-06-21,592.7643495032,0.4158
2014-06-22,599.6346335476,0.4222
2014-06-23,589.5522998247,0.4119
2014-06-24,579.9737185856,0.4018
2014-06-25,562.2367799532,0.3831
2014-06-26,580.7492302747,0.402
2014-06-27,600.638305377,0.4212
2014-06-28,594.3903042081,0.4149
2014-06-29,600.8405184103,0.42
2014-06-30,638.9461139684,0.4534
2014-07-01,642.9565967271,0.4558
2014-07-02,651.2983477499,0.4611
2014-07-03,646.4133891303,0.4561
2014-07-04,630.6355029223,0.4422
2014-07-05,630.4683419053,0.4417
2014-07-06,634.6726744594,0.4451
2014-07-07,622.8549789597,0.4343
2014-07-08,624.8943310929,0.4359
2014-07-09,621.9390917592,0.4323
2014-07-10,616.5228497954,0.4269
2014-07-11,634.4943781414,0.4427
2014-07-12,636.9239579345,0.4445
2014-07-13,629.8757504383,0.4381
2014-07-14,619.1974590883,0.4282
2014-07-15,621.9346014027,0.4304
2014-07-16,616.3518822326,0.4251
2014-07-17,624.2592749854,0.4319
2014-07-18,630.7501402688,0.4374
2014-07-19,629.1733644068,0.4359
2014-07-20,625.2486762127,0.4321
2014-07-21,621.3053313852,0.4278
2014-07-22,619.8232644652,0.4262
2014-07-23,619.7728167738,0.4255
2014-07-24,602.8796455289,0.4093
2014-07-25,601.5785143191,0.4078
2014-07-26,594.7026072472,0.4009
2014-07-27,591.5754441847,0.3976
2014-07-28,587.4930049679,0.3934
2014-07-29,584.1123933372,0.39
2014-07-30,562.9146250731,0.3674
2014-07-31,581.9755619521,0.3877
2014-08-01,596.5067592051,0.4018
2014-08-02,589.757261543,0.3947
2014-08-03,586.7537367037,0.3916
2014-08-04,587.6083354763,0.3918
2014-08-05,581.8819886032,0.3822
2014-08-06,582.2483714202,0.3824
2014-08-07,586.0466335476,0.3861
2014-08-08,589.0244126242,0.389
2014-08-09,588.9785213326,0.3886
2014-08-10,589.3735020456,0.3888
2014-08-11,573.4414839275,0.3718
2014-08-12,568.3075201636,0.3661
2014-08-13,548.3701753361,0.3432
2014-08-14,505.1074997078,0.2884
2014-08-15,500.3230601327,0.282
2014-08-16,521.7479628872,0.3113
2014-08-17,497.7646589714,0.2781
2014-08-18,468.9579181765,0.2358
2014-08-19,486.7943506721,0.2639
2014-08-20,515.1203538866,0.304
2014-08-21,519.3078521333,0.3098
2014-08-22,516.1593687902,0.3055
2014-08-23,497.1257594974,0.2795
2014-08-24,508.4307419638,0.2955
2014-08-25,501.6102866745,0.286
2014-08-26,511.8523217417,0.3001
2014-08-27,510.1623237873,0.2978
2014-08-28,506.2851516657,0.2956
2014-08-29,508.8665718878,0.2995
2014-08-30,501.2757232613,0.2889
2014-08-31,478.5114254822,0.2552
2014-09-01,474.5414897721,0.2489
2014-09-02,474.4306706604,0.2493
2014-09-03,473.9592033898,0.2487
2014-09-04,489.5552013442,0.2724
2014-09-05,478.7497828755,0.2558
2014-09-06,480.6424918177,0.2585
2014-09-07,478.3655008767,0.2555
2014-09-08,468.9754959088,0.2409
2014-09-09,473.5120271771,0.2488
2014-09-10,477.7784175921,0.2558
2014-09-11,477.2706820573,0.2552
2014-09-12,473.9972822911,0.2505
2014-09-13,477.9609739918,0.2567
2014-09-14,475.6480639977,0.253
2014-09-15,472.6556297487,0.2486
2014-09-16,464.1777545295,0.2351
2014-09-17,456.3398912916,0.2222
2014-09-18,426.880106955,0.1701
2014-09-19,393.8938907072,0.1032
2014-09-20,411.041342782,0.1425
2014-09-21,400.4045306838,0.1203
2014-09-22,400.8816221508,0.1219
2014-09-23,438.4918009936,0.1972
2014-09-24,423.7000917592,0.1697
2014-09-25,409.5377498539,0.1415
2014-09-26,405.2982518995,0.1338
2014-09-27,400.5993345996,0.1242
