d,price_usd,oi_futures_btc
2021-06-30,34590.84,327330.0
2021-07-01,33418.21,325570.0
2021-07-02,33782.9459464641,333990.0
2021-07-03,34720.1,339420.0
2021-07-04,35355.6078883694,335160.0
2021-07-05,33911.7538404442,333970.0
2021-07-06,33946.37,338630.0
2021-07-07,34690.12,337630.0
2021-07-08,32819.6595312098,347530.0
2021-07-09,33914.8810742256,354890.0
2021-07-10,33335.86,343750.0
2021-07-11,33846.4,343880.0
2021-07-12,32834.9,345590.0
2021-07-13,32641.9759610169,353390.0
2021-07-14,32813.26,357380.0
2021-07-15,31750.98,351900.0
2021-07-16,31455.7175818819,372200.0
2021-07-17,31547.9511990064,369580.0
2021-07-18,31645.72,373280.0
2021-07-19,30805.05,372900.0
2021-07-20,29877.38,397030.0
2021-07-21,31843.81,401430.0
2021-07-22,32306.9614285798,380110.0
2021-07-23,33439.5957028638,379300.0
2021-07-24,34166.914654588,382580.0
2021-07-25,35119.9374360023,390060.0
2021-07-26,37444.7825102279,368520.0
2021-07-27,38055.11,348490.0
2021-07-28,40003.52,343300.0
2021-07-29,39722.32,346510.0
2021-07-30,40860.23,341840.0
2021-07-31,41793.3137481005,338550.0
2021-08-01,41310.19,337080.0
2021-08-02,39304.1862835769,330920.0
2021-08-03,38288.8253975453,333810.0
2021-08-04,39706.49,343390.0
2021-08-05,40908.48,336430.0
2021-08-06,42690.36,330470.0
2021-08-07,43945.42,335730.0
2021-08-08,43855.21,336090.0
2021-08-09,46265.6424564582,336540.0
2021-08-10,45488.7912624196,339650.0
2021-08-11,45676.3263611923,341680.0
2021-08-12,44440.18,343780.0
2021-08-13,47717.4853559322,345190.0
2021-08-14,46665.44,348890.0
2021-08-15,46749.52,347410.0
2021-08-16,46064.94,341710.0
2021-08-17,45017.36,355100.0
2021-08-18,44592.92,359930.0
2021-08-19,46567.94,348520.0
2021-08-20,48652.94,342970.0
2021-08-21,49070.2409701929,349500.0
2021-08-22,48424.68,347350.0
2021-08-23,49509.06,348230.0
2021-08-24,48364.25,357580.0
2021-08-25,48747.71,366480.0
2021-08-26,47047.56,356470.0
2021-08-27,48942.27,358800.0
2021-08-28,48746.55,346960.0
2021-08-29,48896.51,348610.0
2021-08-30,48653.6,350150.0
2021-08-31,46995.72,365110.0
2021-09-01,48269.06,367220.0
2021-09-02,49555.55,350390.0
2021-09-03,49860.5341635301,364550.0
2021-09-04,49919.577563647,360160.0
2021-09-05,51652.0,356300.0
2021-09-06,52640.5883740503,371760.0
2021-09-07,46806.02,373960.0
2021-09-08,46154.44,327370.0
