d,price_usd,profit_loss
2014-01-01,752.4045499446,
2014-01-02,784.9549213144,
2014-01-03,807.2229390298,
2014-01-04,828.6020626184,
2014-01-05,902.487380263,
2014-01-06,914.4599608416,
2014-01-07,803.3517961987,
2014-01-08,820.6900095032,
2014-01-09,831.3347504874,
2014-01-10,853.2988548446,
2014-01-11,889.5558371193,
2014-01-12,845.1913322209,
2014-01-13,822.8770121975,
2014-01-14,815.2936027119,
2014-01-15,841.0898573641,
2014-01-16,815.8548002981,
2014-01-17,792.8295064757,
2014-01-18,809.7835283564,
2014-01-19,838.4284747341,
2014-01-20,828.8852165926,
2014-01-21,823.8179637639,
2014-01-22,818.9763863238,
2014-01-23,810.9224251958,
2014-01-24,781.0425139509,
2014-01-25,804.4032408007,
2014-01-26,814.4993813735,
2014-01-27,742.7013749708,
2014-01-28,790.1764018761,
2014-01-29,793.3844249094,
2014-01-30,799.4744798364,
2014-01-31,803.2375987849,
2014-02-01,813.2195492168,
2014-02-02,814.4908704267,
2014-02-03,806.9974283725,
2014-02-04,800.0782318936,
2014-02-05,784.4736927778,
2014-02-06,763.5693822326,
2014-02-07,711.5712734191,
2014-02-08,677.6823009414,
2014-02-09,687.4060545763,
2014-02-10,685.4574988369,
2014-02-11,671.8996916902,
2014-02-12,653.7657809117,
2014-02-13,612.918414962,
2014-02-14,668.7886026593,
2014-02-15,654.3770601987,
2014-02-16,623.2503219486,
2014-02-17,631.3345963063,
2014-02-18,627.2717614155,
2014-02-19,623.5401369462,
2014-02-20,563.7685610988,
2014-02-21,580.3243159731,
2014-02-22,607.1246333372,
2014-02-23,610.0823237463,
2014-02-24,542.2666507539,
2014-02-25,533.707644436,
2014-02-26,587.5785882992,
2014-02-27,585.3939256501,
2014-02-28,551.2947703098,
2014-03-01,567.5342354413,
2014-03-02,558.5277071566,
2014-03-03,676.505732782,
2014-03-04,674.5113994331,
2014-03-05,670.3388510995,
2014-03-06,667.7128340035,
2014-03-07,631.7702952133,
2014-03-08,621.5241144962,
2014-03-09,640.578889322,
2014-03-10,628.151241166,
2014-03-11,633.733838235,
2014-03-12,634.6468237171,
2014-03-13,643.4321008591,
2014-03-14,628.3085900058,
2014-03-15,636.2186500614,
2014-03-16,634.1689009709,
2014-03-17,622.7602086499,
2014-03-18,614.3095137171,
2014-03-19,610.5112034746,
2014-03-20,586.6075957101,
2014-03-21,569.6945179953,
2014-03-22,564.7000267037,
2014-03-23,558.9588616914,
2014-03-24,585.023250519,
2014-03-25,583.7711890941,
2014-03-26,579.243850401,
2014-03-27,483.1640126125,
2014-03-28,498.6613289492,
2014-03-29,489.5170235476,
2014-03-30,458.9663282759,
2014-03-31,455.3553540561,
2014-04-01,479.0084658679,
2014-04-02,439.0114925248,
2014-04-03,449.4411515196,
2014-04-04,449.719869737,
2014-04-05,461.6753314822,
2014-04-06,458.6334805445,
2014-04-07,448.6552750664,
2014-04-08,452.803098796,
2014-04-09,442.8379849322,
2014-04-10,366.9118660634,
2014-04-11,421.9435280713,
2014-04-12,424.2742126476,
2014-04-13,416.362321654,
2014-04-14,461.1082465866,
2014-04-15,521.6152996061,
2014-04-16,531.481846732,
2014-04-17,499.8375515447,
2014-04-18,483.0200135336,
2014-04-19,504.3655951785,
2014-04-20,501.5571844492,
2014-04-21,498.084530301,
2014-04-22,489.5035100292,
2014-04-23,490.6329675433,
2014-04-24,503.2918010286,
2014-04-25,466.4261713442,
2014-04-26,459.2267098188,
2014-04-27,438.7093637173,
2014-04-28,441.5478054681,
2014-04-29,447.709930772,
2014-04-30,448.875715514,
2014-05-01,460.194698256,
2014-05-02,452.2397797617,
2014-05-03,438.9785880058,
2014-05-04,436.6753986447,
2014-05-05,432.3381790354,
2014-05-06,430.1282053945,
