d,price_usd,realized_cap
2011-01-01,0.3,431813.7335
2011-01-02,0.29997,436339.3723
2011-01-03,0.295,439617.422
2011-01-04,0.29895,442045.9009
2011-01-05,0.2989163022,444948.5906
2011-01-06,0.298,447606.3009
2011-01-07,0.32,451641.1695
2011-01-08,0.3229,455675.1345
2011-01-09,0.323,459105.9568
2011-01-10,0.32659,466917.8875
2011-01-11,0.32659,480300.0444
2011-01-12,0.3187996213,483270.1052
2011-01-13,0.3176,491201.1287
2011-01-14,0.3999900058,500190.2254
2011-01-15,0.386,504641.4642
2011-01-16,0.38679,512266.7211
2011-01-17,0.3495,517759.5139
2011-01-18,0.31299,520193.6036
2011-01-19,0.31299,527399.0132
2011-01-20,0.39,534079.0487
2011-01-21,0.41991,540910.1085
2011-01-22,0.4400355289,548422.2756
2011-01-23,0.4424,560403.342
2011-01-24,0.4199,568923.5657
2011-01-25,0.41,573339.414
2011-01-26,0.4150851297,662380.8617
2011-01-27,0.4212,669931.4434
2011-01-28,0.4444840444,677012.957
2011-01-29,0.439,687611.094
2011-01-30,0.4771420339,693861.0436
2011-01-31,0.5251368703,712659.0241
2011-02-01,0.7075101169,744608.4233
2011-02-02,0.7254348217,775152.6166
2011-02-03,0.6938983676,785119.808
2011-02-04,0.8109589714,803719.9943
2011-02-05,0.9116714775,837788.1963
2011-02-06,0.898,856034.1364
2011-02-07,0.88942137,904230.652
2011-02-08,0.918,916950.344
2011-02-09,1.0160502455,955824.9898
2011-02-10,0.9796529632,977202.0075
2011-02-11,1.0540694535,1008430.7013
2011-02-12,1.078703284,1026057.9821
2011-02-13,1.05,1044062.6461
2011-02-14,1.0700126242,1087793.3908
2011-02-15,1.05,1102839.8554
2011-02-16,1.0316876289,1117217.8439
2011-02-17,1.0399231975,1131419.3551
2011-02-18,0.8989559147,1145779.7974
2011-02-19,0.9440281169,1155147.9635
2011-02-20,0.865,1169422.5682
2011-02-21,0.8357474284,1178223.6771
2011-02-22,0.8770417797,1192039.866
2011-02-23,0.9,1204444.395
2011-02-24,0.9890952659,1222236.0586
2011-02-25,0.9146520018,1233080.6677
2011-02-26,0.958,1262610.6733
2011-02-27,0.8950331146,1287647.7062
2011-02-28,0.8602209234,1305124.2919
2011-03-01,0.9210968919,1482963.464
2011-03-02,0.9399,1497865.7527
2011-03-03,0.9390733834,1509138.7983
2011-03-04,0.9011,1521333.0879
2011-03-05,0.9078406067,1538923.1099
2011-03-06,0.8847709731,1550203.0143
2011-03-07,0.8775838644,1557177.815
2011-03-08,0.8660715915,1568505.4154
2011-03-09,0.86,1574949.8526
2011-03-10,0.9206703098,1583566.4809
2011-03-11,0.88,1589803.8704
2011-03-12,0.9178155132,1609297.3558
2011-03-13,0.89249,1619830.5382
2011-03-14,0.8939249229,1637479.545
2011-03-15,0.87224,1647312.8603
2011-03-16,0.8512116657,1667267.4762
2011-03-17,0.82542,1677619.5205
2011-03-18,0.8019592081,1680901.0614
2011-03-19,0.765,1685320.274
2011-03-20,0.7415,1689522.0842
2011-03-21,0.75897,1696664.3464
2011-03-22,0.8091302928,1705995.4284
2011-03-23,0.84971,1714492.5678
2011-03-24,0.8723743659,1737283.391
2011-03-25,0.88377,1746498.4973
2011-03-26,0.8552,1764116.6494
2011-03-27,0.822,1771178.4251
2011-03-28,0.7947405003,1777615.4741
2011-03-29,0.7925099416,1783677.2773
2011-03-30,0.7897063121,1788990.143
2011-03-31,0.78461,1796439.4669
2011-04-01,0.77411,1803377.2295
2011-04-02,0.78199,1808566.5728
2011-04-03,0.779,1815244.0748
2011-04-04,0.68,1829086.763
2011-04-05,0.7156918346,1836632.7693
2011-04-06,0.74,1841935.3023
2011-04-07,0.7538,1847881.268
2011-04-08,0.74999,1854654.9094
2011-04-09,0.7340605172,1859938.1354
2011-04-10,0.7331568206,1865249.6444
2011-04-11,0.7701139334,1872823.1824
2011-04-12,0.8613816078,1885950.1375
2011-04-13,0.9303200584,1902465.9295
2011-04-14,0.9986297662,1923920.2789
2011-04-15,0.9836731368,1947903.4417
2011-04-16,1.046632858,1968526.543
2011-04-17,1.0981220979,1994128.6501
2011-04-18,1.1494333115,2027434.0118
2011-04-19,1.1851622209,2062451.7667
2011-04-20,1.1421259848,2074846.4472
2011-04-21,1.207338872,2097553.3937
2011-04-22,1.4045050818,2152489.0398
2011-04-23,1.828852301,2254444.4627
2011-04-24,1.6319842198,2290384.9524
2011-04-25,1.5644836353,2315214.3176
2011-04-26,1.7708408901,2361194.6443
2011-04-27,1.9031759585,2406713.7406
2011-04-28,2.2857444658,2492770.0051
2011-04-29,2.85060509,3264967.3552
2011-04-30,3.5,3690766.7721
2011-05-01,3.0942275535,3778336.2763
2011-05-02,3.2,3845960.9559
2011-05-03,3.3605857037,3983512.945
2011-05-04,3.4086730473,4289469.2794
2011-05-05,3.3437366844,4365597.6286
