d,price_usd,realized_price
2011-06-01,9.623777232,1.9335
2011-06-02,10.7027602279,2.009
2011-06-03,14.2646467738,2.2188
2011-06-04,18.3127387259,2.365
2011-06-05,16.5433423963,2.516
2011-06-06,18.4020986441,3.0547
2011-06-07,23.2378784629,3.218
2011-06-08,29.0299213267,3.9294
2011-06-09,28.7905440181,4.3527
2011-06-10,24.0493992285,4.6825
2011-06-11,14.7497466277,4.642
2011-06-12,18.8501447312,5.2257
2011-06-13,19.5423291146,5.4094
2011-06-14,19.2577355056,5.8205
2011-06-15,19.4641426242,6.2083
2011-06-16,17.9293625424,6.3172
2011-06-17,15.4363689129,6.3622
2011-06-18,16.8754045354,6.4176
2011-06-19,17.5107167914,6.508
2011-06-20,17.5107167914,6.5563
2011-06-21,17.5107167914,6.6361
2011-06-22,17.5107167914,6.6636
2011-06-23,17.5107167914,6.6962
2011-06-24,17.5107167914,6.7412
2011-06-25,17.5107167914,6.763
2011-06-26,16.3613420158,6.8048
2011-06-27,16.7522858133,6.9264
2011-06-28,16.9618353071,7.0008
2011-06-29,16.8545683179,7.0476
2011-06-30,16.1852627808,7.1014
2011-07-01,15.4203573992,7.0893
2011-07-02,15.3828440696,7.0853
2011-07-03,15.4575505605,7.1023
2011-07-04,13.8527968124,7.0763
2011-07-05,12.9648177148,7.0951
2011-07-06,14.7147835833,7.1128
2011-07-07,14.7972891613,7.1279
2011-07-08,14.299037697,7.1295
2011-07-09,14.3815006698,7.1333
2011-07-10,14.6229375511,7.1734
2011-07-11,14.3101554331,7.1862
2011-07-12,14.0212726216,7.1951
2011-07-13,13.9714545225,7.2077
2011-07-14,13.9979745476,7.2171
2011-07-15,13.8063904056,7.2252
2011-07-16,13.7130792992,7.23
2011-07-17,13.2581353109,7.2368
2011-07-18,13.6305212504,7.0185
2011-07-19,13.8247948387,7.0377
2011-07-20,13.6783305921,6.9682
2011-07-21,13.6118084418,6.9732
2011-07-22,13.6985473311,6.978
2011-07-23,13.6817183425,6.9857
2011-07-24,13.9925151765,6.9993
2011-07-25,14.0334253787,7.0121
2011-07-26,13.8780323232,7.0221
2011-07-27,13.8782247551,7.0347
2011-07-28,13.4915910757,7.0296
2011-07-29,13.5123163901,7.0399
2011-07-30,13.5402806739,7.0541
2011-07-31,13.3729061023,7.0542
2011-08-01,13.0191138469,7.0507
2011-08-02,12.2141564389,7.0464
2011-08-03,9.2863569135,6.9633
2011-08-04,10.7685037481,6.9734
2011-08-05,9.7301539597,6.9484
2011-08-06,6.9641697358,6.842
2011-08-07,8.5017932922,6.8381
2011-08-08,7.7753376379,6.7268
2011-08-09,9.802499481,6.7431
2011-08-10,10.0512531274,6.7479
2011-08-11,9.4384129947,6.7363
2011-08-12,9.4529932852,6.7364
2011-08-13,10.0040247446,6.7424
2011-08-14,10.8068207665,6.7533
2011-08-15,11.13069655,6.7642
2011-08-16,10.9919655669,6.7763
2011-08-17,10.9639640561,6.7879
2011-08-18,10.8584714559,6.7947
2011-08-19,11.6704730432,6.8073
2011-08-20,11.4597317393,6.8155
2011-08-21,11.3544813407,6.8192
2011-08-22,10.9208958247,6.8229
2011-08-23,10.9172450544,6.8224
2011-08-24,10.8704442899,6.8264
2011-08-25,9.5460936736,6.8772
2011-08-26,8.1269201631,6.8799
2011-08-27,8.5964976067,6.4982
2011-08-28,9.0308663998,6.5026
2011-08-29,8.9611572706,6.51
2011-08-30,8.8099487382,6.508
2011-08-31,8.1991517645,6.5029
2011-09-01,8.2342816651,6.4952
2011-09-02,8.6214244378,6.4999
2011-09-03,8.4496534407,6.5001
2011-09-04,8.2034706023,6.4963
2011-09-05,7.5973325251,6.4855
2011-09-06,6.8465300289,6.4666
2011-09-07,7.1629702735,6.459
2011-09-08,6.6781800003,6.4379
2011-09-09,4.9867770418,6.4113
2011-09-10,4.7428466552,6.3984
2011-09-11,5.8529039725,6.1485
2011-09-12,6.0906294722,6.1352
2011-09-13,5.802523277,6.117
2011-09-14,5.5974326102,6.1092
2011-09-15,4.8677551847,6.0939
2011-09-16,4.8311681005,6.0801
2011-09-17,4.7752856353,6.0736
2011-09-18,5.2367322782,6.0724
2011-09-19,5.520376692,6.0659
2011-09-20,6.1466655517,6.0647
2011-09-21,5.597067498,6.0581
2011-09-22,5.4750487767,6.0465
2011-09-23,5.5634214196,6.0421
