d,price_usd,rhodl_1m
2011-10-13,4.03698109,
2011-10-14,3.9862808854,
2011-10-15,3.8373385605,
2011-10-16,3.6097417165,
2011-10-17,2.5812467218,
2011-10-18,2.4222747382,
2011-10-19,2.217254713,
2011-10-20,2.3561235085,
2011-10-21,2.5700923051,
2011-10-22,3.1554861385,
2011-10-23,3.1477509299,
2011-10-24,2.5229359977,
2011-10-25,2.8019238311,
2011-10-26,2.777505239,
2011-10-27,3.0454078276,
2011-10-28,3.1796394366,
2011-10-29,3.5691889687,
2011-10-30,3.257403723,
2011-10-31,3.2650982127,
2011-11-01,3.1710077428,
2011-11-02,3.2558005666,
2011-11-03,3.1683163852,
2011-11-04,3.1201181718,
2011-11-05,2.9778175979,
2011-11-06,2.9627205769,
2011-11-07,3.0177576873,
2011-11-08,3.056567111,
2011-11-09,2.9195672238,
2011-11-10,2.8567020853,
2011-11-11,3.0678617335,39941.54363333333
2011-11-12,3.0255229959,38480.69963333334
2011-11-13,2.9863733033,37497.64716666667
2011-11-14,2.2242244643,36775.2832
2011-11-15,2.3223841157,37558.67473333333
2011-11-16,2.5467809307,38491.2775
2011-11-17,2.2790958358,39411.06143333333
2011-11-18,2.1050660032,40301.15873333334
2011-11-19,2.2034567218,41317.280966666665
2011-11-20,2.2019895096,42297.18706666667
2011-11-21,2.2798791654,43297.05413333334
2011-11-22,2.3224585961,43976.3879
2011-11-23,2.3303235675,44703.7053
2011-11-24,2.4388790003,45486.942533333335
2011-11-25,2.4961610029,46384.19013333333
2011-11-26,2.471799969,47205.42683333334
2011-11-27,2.4775649512,48089.44986666666
2011-11-28,2.5412402522,49031.1545
2011-11-29,2.7576984828,49756.5265
2011-11-30,2.9660415459,50468.28803333334
2011-12-01,3.08258945,51224.6455
2011-12-02,3.1004023331,51877.768200000006
2011-12-03,2.8038561853,52572.48556666667
2011-12-04,2.819693976,53186.461333333325
2011-12-05,2.8747962274,53758.04813333334
2011-12-06,3.0253604515,54274.80076666667
2011-12-07,2.9855024211,54758.9328
2011-12-08,2.9918804831,54841.751266666666
2011-12-09,2.9557919521,54872.43843333334
2011-12-10,3.0689752671,54913.245833333334
2011-12-11,3.2492688472,54933.325333333334
2011-12-12,3.1873353565,54915.30676666667
2011-12-13,3.2410884085,54903.164833333336
2011-12-14,3.1550865044,54885.10863333334
2011-12-15,3.2031385406,53300.14276666667
2011-12-16,3.2091377773,51734.935633333334
2011-12-17,3.1925417043,50158.596900000004
2011-12-18,3.1940108089,48484.36503333333
2011-12-19,3.5257739193,46801.70013333333
2011-12-20,3.9525508273,45083.067
2011-12-21,3.8889932507,43363.8583
2011-12-22,3.9030604205,42104.72546666666
2011-12-23,3.937965076,40863.10633333333
2011-12-24,3.9394191186,39700.28173333334
