d,price_usd,terminal_price
2011-01-01,0.3,0.24
2011-01-02,0.29997,0.24
2011-01-03,0.295,0.24
2011-01-04,0.29895,0.24
2011-01-05,0.2989163022,0.24
2011-01-06,0.298,0.24
2011-01-07,0.32,0.25
2011-01-08,0.3229,0.25
2011-01-09,0.323,0.25
2011-01-10,0.32659,0.25
2011-01-11,0.32659,0.28
2011-01-12,0.3187996213,0.28
2011-01-13,0.3176,0.28
2011-01-14,0.3999900058,0.28
2011-01-15,0.386,0.28
2011-01-16,0.38679,0.29
2011-01-17,0.3495,0.29
2011-01-18,0.31299,0.29
2011-01-19,0.31299,0.3
2011-01-20,0.39,0.3
2011-01-21,0.41991,0.3
2011-01-22,0.4400355289,0.3
2011-01-23,0.4424,0.31
2011-01-24,0.4199,0.31
2011-01-25,0.41,0.31
2011-01-26,0.4150851297,0.32
2011-01-27,0.4212,0.43
2011-01-28,0.4444840444,0.43
2011-01-29,0.439,0.44
2011-01-30,0.4771420339,0.44
2011-01-31,0.5251368703,0.45
2011-02-01,0.7075101169,0.46
2011-02-02,0.7254348217,0.47
2011-02-03,0.6938983676,0.47
2011-02-04,0.8109589714,0.47
2011-02-05,0.9116714775,0.48
2011-02-06,0.898,0.49
2011-02-07,0.88942137,0.52
2011-02-08,0.918,0.52
2011-02-09,1.0160502455,0.53
2011-02-10,0.9796529632,0.54
2011-02-11,1.0540694535,0.55
2011-02-12,1.078703284,0.56
2011-02-13,1.05,0.56
2011-02-14,1.0700126242,0.62
2011-02-15,1.05,0.62
2011-02-16,1.0316876289,0.62
2011-02-17,1.0399231975,0.62
2011-02-18,0.8989559147,0.63
2011-02-19,0.9440281169,0.63
2011-02-20,0.865,0.63
2011-02-21,0.8357474284,0.63
2011-02-22,0.8770417797,0.64
2011-02-23,0.9,0.64
2011-02-24,0.9890952659,0.64
2011-02-25,0.9146520018,0.65
2011-02-26,0.958,0.67
2011-02-27,0.8950331146,0.69
2011-02-28,0.8602209234,0.69
2011-03-01,0.9210968919,0.83
2011-03-02,0.9399,0.83
2011-03-03,0.9390733834,0.83
2011-03-04,0.9011,0.83
2011-03-05,0.9078406067,0.84
